timestamp,pololu_acc_x,pololu_acc_y,pololu_acc_z,pololu_gyr_x,pololu_gyr_y,pololu_gyr_z,pololu_mag_x,pololu_mag_y,pololu_mag_z,pololu_bar
723.9000244,0,0,0,0,0,0,-0.38184759,0.330088198,-0.450209051,0
729.1000366,8.943275452,0.023950927,0.004790185,0.059656627,0.014914157,-0.937461317,-0.093264565,0.096682638,-0.121585742,97510.0625
734.7000122,9.824669838,-0.01916074,-0.014370556,0.041546579,0.053264849,-0.542236149,-0.096194342,0.100589007,-0.120120853,97511.91406
740.1000366,9.829460144,-0.023950927,-0.023950927,0.022371236,0.113986775,0.013848861,-0.092287973,0.099124119,-0.120609149,97513.625
745.6000366,9.81029892,-0.047901854,-0.00958037,-0.026632424,-0.198145226,-0.172578111,-0.10400708,0.099124119,-0.121097445,97513.01563
751.1000366,9.839040756,-0.07664296,-0.028741112,-0.027697721,-0.18429637,-0.167251617,-0.091799676,0.09765923,-0.122562334,97511.10938
756.7000122,9.83425045,-0.03832148,-0.028741112,0.003195891,0.174708694,0.028763017,-0.102542192,0.097170934,-0.118655965,97512.71875
762.1000366,9.824669838,-0.062272407,-0.014370556,-0.001065297,0.145945683,0.013848861,-0.086916715,0.100589007,-0.127445295,97514.40625
767.6000366,9.848620415,-0.03832148,0.004790185,-0.004261188,0.120378554,0,-0.095217749,0.097170934,-0.121585742,97513.625
773.1000366,9.848620415,-0.057482224,0.004790185,-0.005326485,0.080962569,-0.01065297,-0.098147526,0.096682638,-0.124027222,97514.08594
778.6000366,9.805509567,-0.062272407,0.00958037,0.004261188,0.002130594,-0.008522375,-0.098635823,0.097170934,-0.120120853,97513.74219
784.1000366,9.843831062,-0.043111667,-0.014370556,0.004261188,-0.006391782,-0.009587673,-0.094729453,0.096194342,-0.122074038,97514.0625
789.6000366,9.800719261,-0.062272407,-0.014370556,0.005326485,-0.006391782,-0.009587673,-0.096194342,0.095706046,-0.120609149,97516.55469
795.1000366,9.819879532,-0.057482224,-0.028741112,0.005326485,-0.005326485,-0.009587673,-0.082033753,0.093752861,-0.125003815,97516.84375
800.6000366,9.786348343,-0.067062594,-0.028741112,0.004261188,-0.005326485,-0.009587673,-0.100100711,0.098147526,-0.121585742,97516.89063
806.1000366,9.795928955,-0.081433147,-0.00958037,0.004261188,-0.006391782,-0.008522375,-0.098635823,0.099612415,-0.12305063,97517.1875
811.6000366,9.815089226,-0.028741112,-0.014370556,0.003195891,-0.006391782,-0.009587673,-0.100589007,0.097170934,-0.118167669,97514.01563
817.1000366,9.791138649,-0.047901854,-0.01916074,0.005326485,-0.006391782,-0.009587673,-0.100100711,0.095217749,-0.118167669,97511.8125
822.6000366,9.839040756,-0.07664296,-0.01916074,0.004261188,-0.006391782,-0.009587673,-0.099124119,0.094729453,-0.118655965,97516.25781
828.1000366,9.81029892,-0.067062594,-0.004790185,0.005326485,-0.006391782,-0.009587673,-0.094729453,0.09765923,-0.122562334,97516.25781
833.6000366,9.819879532,-0.062272407,0,0.005326485,-0.005326485,-0.008522375,-0.089846492,0.099124119,-0.120609149,97520.67969
839.1000366,9.800719261,-0.071852781,-0.004790185,0.005326485,-0.006391782,-0.008522375,-0.094729453,0.099124119,-0.120120853,97518.72656
844.6000366,9.81029892,-0.062272407,0.01916074,0.005326485,-0.005326485,-0.008522375,-0.101077303,0.096682638,-0.11670278,97518.57813
850.1000366,9.81029892,-0.081433147,0.00958037,0.005326485,-0.005326485,-0.009587673,-0.095706046,0.099124119,-0.120609149,97518.28906
855.6000366,9.795928955,-0.062272407,-0.00958037,0.005326485,-0.005326485,-0.009587673,-0.104983672,0.09765923,-0.118167669,97519.01563
861.1000366,9.800719261,-0.047901854,0,0.005326485,-0.007457078,-0.009587673,-0.095217749,0.096682638,-0.121097445,97522.67969
866.6000366,9.824669838,-0.057482224,-0.014370556,0.005326485,-0.006391782,-0.009587673,-0.101077303,0.097170934,-0.125003815,97521.60938
872.1000366,9.815089226,-0.071852781,0.004790185,0.005326485,-0.007457078,-0.008522375,-0.093264565,0.096194342,-0.120120853,97521.85156
877.6000366,9.805509567,-0.071852781,0,0.005326485,-0.006391782,-0.009587673,-0.09765923,0.098635823,-0.124515519,97523.63281
883.1000366,9.800719261,-0.052692037,-0.014370556,0.005326485,-0.006391782,-0.009587673,-0.087405011,0.097170934,-0.120120853,97522.33594
888.6000366,9.805509567,-0.07664296,-0.014370556,0.005326485,-0.005326485,-0.009587673,-0.088381603,0.101077303,-0.125980407,97522.14063
894.1000366,9.795928955,-0.062272407,-0.01916074,0.005326485,-0.006391782,-0.009587673,-0.083986938,0.099612415,-0.12305063,97522.4375
899.6000366,9.781558037,-0.071852781,-0.00958037,0.005326485,-0.005326485,-0.009587673,-0.081057161,0.099612415,-0.121585742,97522.65625
905.1000366,9.786348343,-0.081433147,-0.01916074,0.004261188,-0.005326485,-0.009587673,-0.090334788,0.099124119,-0.116214484,97522.28906
910.6000366,9.81029892,-0.03832148,-0.004790185,0.004261188,-0.006391782,-0.008522375,-0.104495376,0.099612415,-0.120609149,97521.4375
916.1000366,9.800719261,-0.071852781,0.00958037,0.004261188,-0.005326485,-0.009587673,-0.095706046,0.099124119,-0.122562334,97520.46094
921.6000366,9.824669838,-0.071852781,-0.00958037,0.005326485,-0.006391782,-0.009587673,-0.091799676,0.102053896,-0.119144261,97519.67969
927.1000366,9.800719261,-0.057482224,-0.023950927,0.005326485,-0.006391782,-0.008522375,-0.102053896,0.098635823,-0.118655965,97520.77344
932.6000366,9.767188072,-0.047901854,0,0.005326485,-0.006391782,-0.008522375,-0.090334788,0.096682638,-0.115237892,97522.14063
938.1000366,9.805509567,-0.067062594,0.014370556,0.005326485,-0.007457078,-0.009587673,-0.089358196,0.103030488,-0.115726188,97522.72656
943.6000366,9.815089226,-0.047901854,-0.01916074,0.005326485,-0.006391782,-0.009587673,-0.093264565,0.099612415,-0.116214484,97524.02344
949.1000366,9.791138649,-0.071852781,-0.004790185,0.004261188,-0.006391782,-0.009587673,-0.106936857,0.099124119,-0.118167669,97524.02344
954.7000122,9.815089226,-0.052692037,0.004790185,0.004261188,-0.006391782,-0.008522375,-0.0888699,0.098635823,-0.122562334,97524.19531
