time [s],mass [g],thrust [N]
162.081,3.98E+04,0
162.1,3.98E+04,0
162.12,3.98E+04,0
162.142,3.98E+04,0
162.166,3.98E+04,0
162.194,3.98E+04,0
162.224,3.98E+04,0
162.26,3.98E+04,0
162.301,3.98E+04,0
162.348,3.98E+04,0
162.393,3.98E+04,0
162.464,3.98E+04,0
162.547,3.98E+04,0
162.659,3.98E+04,0
162.784,3.98E+04,0
163.028,3.98E+04,0
163.419,3.98E+04,0
163.782,3.98E+04,0
164.091,3.98E+04,0
164.591,3.98E+04,0
165.091,3.98E+04,0
165.591,3.98E+04,0
166.091,3.98E+04,0
166.591,3.98E+04,0
167.091,3.98E+04,0
167.372,3.98E+04,0
167.872,3.98E+04,0
168.372,3.98E+04,0
168.872,3.98E+04,0
169.372,3.98E+04,0
169.872,3.98E+04,0
170.372,3.98E+04,0
170.872,3.98E+04,0
171.372,3.98E+04,0
171.872,3.98E+04,0
172.166,3.98E+04,0
172.666,3.98E+04,0
173.166,3.98E+04,0
173.666,3.98E+04,0
173.955,3.98E+04,0
174.149,3.98E+04,0
174.649,3.98E+04,0
175.149,3.98E+04,0
175.556,3.98E+04,0
176.056,3.98E+04,0
176.556,3.98E+04,0
177.056,3.98E+04,0
177.556,3.98E+04,0
177.93,3.98E+04,0
178.43,3.98E+04,0
178.93,3.98E+04,0
179.43,3.98E+04,0
179.93,3.98E+04,0
180.27,3.98E+04,0
180.679,3.98E+04,0
180.814,3.98E+04,0
181.016,3.98E+04,0
181.23,3.98E+04,0
181.73,3.98E+04,0
182.23,3.98E+04,0
182.73,3.98E+04,0
183.23,3.98E+04,0
183.73,3.98E+04,0
184.23,3.98E+04,0
184.664,3.98E+04,0
184.954,3.98E+04,0
185.395,3.98E+04,0
185.558,3.98E+04,0
186.058,3.98E+04,0
186.265,3.98E+04,0
186.745,3.98E+04,0
187.245,3.98E+04,0
187.698,3.98E+04,0
187.975,3.98E+04,0
188.475,3.98E+04,0
188.975,3.98E+04,0
189.475,3.98E+04,0
189.975,3.98E+04,0
190.475,3.98E+04,0
190.975,3.98E+04,0
191.475,3.98E+04,0
191.975,3.98E+04,0
192.232,3.98E+04,0
192.535,3.98E+04,0
193.035,3.98E+04,0
193.296,3.98E+04,0
193.713,3.98E+04,0
194.089,3.98E+04,0
194.589,3.98E+04,0
195.089,3.98E+04,0
195.589,3.98E+04,0
196.044,3.98E+04,0
196.544,3.98E+04,0
196.907,3.98E+04,0
197.407,3.98E+04,0
197.907,3.98E+04,0
198.407,3.98E+04,0
198.907,3.98E+04,0
199.407,3.98E+04,0
199.907,3.98E+04,0
200.407,3.98E+04,0
200.907,3.98E+04,0
201.407,3.98E+04,0
201.65,3.98E+04,0
202.022,3.98E+04,0
202.522,3.98E+04,0
203.022,3.98E+04,0
203.522,3.98E+04,0
204.022,3.98E+04,0
204.522,3.98E+04,0
204.913,3.98E+04,0
205.287,3.98E+04,0
205.787,3.98E+04,0
206.287,3.98E+04,0
206.787,3.98E+04,0
207.287,3.98E+04,0
207.787,3.98E+04,0
208.287,3.98E+04,0
208.787,3.98E+04,0
209.287,3.98E+04,0
209.787,3.98E+04,0
210.287,3.98E+04,0
210.787,3.98E+04,0
211.287,3.98E+04,0
211.787,3.98E+04,0
212.263,3.98E+04,0
212.726,3.98E+04,0
213.223,3.98E+04,0
213.723,3.98E+04,0
214.223,3.98E+04,0
214.723,3.98E+04,0
215.223,3.98E+04,0
215.572,3.98E+04,0
216.072,3.98E+04,0
216.572,3.98E+04,0
216.98,3.98E+04,0
217.255,3.98E+04,0
