# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
1.741,5.17E+04,1.21E+04,56.512,0.254,317.933,252.903,5221.962
1.791,5.16E+04,1.20E+04,56.507,0.254,317.228,252.91,5187.725
1.841,5.14E+04,1.18E+04,56.489,0.253,316.022,252.886,5175.189
1.891,5.13E+04,1.17E+04,56.477,0.253,315.071,252.875,5122.319
1.941,5.12E+04,1.16E+04,56.463,0.253,314.715,252.859,5113.864
1.991,5.11E+04,1.15E+04,56.45,0.252,314.822,252.844,5071.376
2.041,5.10E+04,1.14E+04,56.435,0.252,315.238,252.823,5007.327
2.091,5.08E+04,1.12E+04,56.414,0.252,316.56,252.788,4981.567
2.141,5.07E+04,1.11E+04,56.405,0.252,317.803,252.78,4977.444
2.191,5.06E+04,1.10E+04,56.383,0.251,318.967,252.74,4958.339
2.241,5.05E+04,1.09E+04,56.368,0.251,318.604,252.716,4902.068
2.291,5.04E+04,1.08E+04,56.35,0.251,317.726,252.685,4868.795
2.341,5.03E+04,1.07E+04,56.334,0.25,317.26,252.657,4852.524
2.391,5.02E+04,1.06E+04,56.316,0.25,316.999,252.623,4832.527
2.441,5.01E+04,1.05E+04,56.304,0.25,317.464,252.604,4795.412
2.491,5.00E+04,1.03E+04,56.279,0.25,318.268,252.555,4783.63
2.541,4.98E+04,1.02E+04,56.267,0.249,319.603,252.533,4750.163
2.591,4.97E+04,1.01E+04,56.24,0.249,320.326,252.477,4712.677
2.641,4.96E+04,1.00E+04,56.227,0.249,319.331,252.452,4691.379
2.691,4.95E+04,9916.705,56.2,0.248,318.684,252.397,4666.053
2.741,4.94E+04,9815.275,56.183,0.248,318.836,252.362,4656.125
2.791,4.93E+04,9714.975,56.159,0.248,319.452,252.313,4623.644
2.841,4.92E+04,9615.781,56.141,0.248,320.473,252.275,4587.767
2.891,4.91E+04,9517.675,56.117,0.247,321.378,252.223,4554.861
2.941,4.90E+04,9420.65,56.102,0.247,320.847,252.192,4533.256
2.991,4.89E+04,9324.698,56.074,0.247,320.621,252.13,4525.074
3.041,4.88E+04,9229.802,56.059,0.247,320.655,252.096,4512.147
3.091,4.87E+04,9135.959,56.029,0.246,321.053,252.032,4502.345
3.141,4.87E+04,9043.155,56.014,0.246,321.647,251.997,4471.645
3.191,4.86E+04,8951.388,55.984,0.246,322.644,251.931,4480.781
3.241,4.85E+04,8860.651,55.963,0.246,322.148,251.885,4465.968
3.291,4.84E+04,8742.774,55.925,0.245,322.082,251.801,4424.506
3.341,4.82E+04,8591.932,55.878,0.245,322.316,251.695,4375.625
