# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
17.257,3.99E+04,241.842,51.493,0.224,318.64,241.169,0
17.307,3.99E+04,241.842,51.493,0.224,318.354,241.169,0
17.357,3.99E+04,241.842,51.493,0.224,318.518,241.169,0
17.407,3.99E+04,241.842,51.493,0.224,318.622,241.169,0
17.457,3.99E+04,241.842,51.493,0.224,319.036,241.169,0
17.507,3.99E+04,241.842,51.493,0.224,319.553,241.169,0
17.557,3.99E+04,241.842,51.493,0.224,318.811,241.169,0
17.607,3.99E+04,241.842,51.493,0.224,318.135,241.169,0
17.657,3.99E+04,241.842,51.493,0.224,317.779,241.169,0
17.707,3.99E+04,241.842,51.493,0.224,317.796,241.169,0
17.757,3.99E+04,241.842,51.493,0.224,317.857,241.169,0
17.807,3.99E+04,241.842,51.493,0.224,318.008,241.169,0
17.857,3.99E+04,241.842,51.493,0.224,318.679,241.169,0
17.907,3.99E+04,241.842,51.493,0.224,319.056,241.169,0
17.957,3.99E+04,241.842,51.493,0.224,319.058,241.169,0
18.007,3.99E+04,241.842,51.493,0.224,318.294,241.169,0
18.057,3.99E+04,241.842,51.493,0.224,317.843,241.169,0
18.107,3.99E+04,241.842,51.493,0.224,317.801,241.169,0
18.157,3.99E+04,241.842,51.493,0.224,317.264,241.169,0
18.207,3.99E+04,241.842,51.493,0.224,317.064,241.169,0
18.257,3.99E+04,241.842,51.493,0.224,317.226,241.169,0
18.307,3.99E+04,241.842,51.493,0.224,317.947,241.169,0
18.357,3.99E+04,241.842,51.493,0.224,318.433,241.169,0
18.407,3.99E+04,241.842,51.493,0.224,319.078,241.169,0
18.457,3.99E+04,241.842,51.493,0.224,318.064,241.169,0
18.507,3.99E+04,241.842,51.493,0.224,317.046,241.169,0
18.557,3.99E+04,241.842,51.493,0.224,316.522,241.169,0
18.607,3.99E+04,241.842,51.493,0.224,316.411,241.169,0
18.657,3.99E+04,241.842,51.493,0.224,317.098,241.169,0
18.707,3.99E+04,241.842,51.493,0.224,317.618,241.169,0
18.757,3.99E+04,241.842,51.493,0.224,317.896,241.169,0
18.807,3.99E+04,241.842,51.493,0.224,318.521,241.169,0
18.857,3.99E+04,241.842,51.493,0.224,318.685,241.169,0
18.907,3.99E+04,241.842,51.493,0.224,318.173,241.169,0
18.957,3.99E+04,241.842,51.493,0.224,317.874,241.169,0
19.007,3.99E+04,241.842,51.493,0.224,317.583,241.169,0
19.057,3.99E+04,241.842,51.493,0.224,317.301,241.169,0
19.107,3.99E+04,241.842,51.493,0.224,317.543,241.169,0
19.157,3.99E+04,241.842,51.493,0.224,317.271,241.169,0
19.207,3.99E+04,241.842,51.493,0.224,317.405,241.169,0
19.257,3.99E+04,241.842,51.493,0.224,317.882,241.169,0
19.307,3.99E+04,241.842,51.493,0.224,318.345,241.169,0
19.357,3.99E+04,241.842,51.493,0.224,318.627,241.169,0
19.407,3.99E+04,241.842,51.493,0.224,318.792,241.169,0
19.457,3.99E+04,241.842,51.493,0.224,318.201,241.169,0
19.507,3.99E+04,241.842,51.493,0.224,317.746,241.169,0
19.557,3.99E+04,241.842,51.493,0.224,317.548,241.169,0
19.607,3.99E+04,241.842,51.493,0.224,317.434,241.169,0
19.657,3.99E+04,241.842,51.493,0.224,317.447,241.169,0
19.707,3.99E+04,241.842,51.493,0.224,317.471,241.169,0
19.757,3.99E+04,241.842,51.493,0.224,317.563,241.169,0
19.807,3.99E+04,241.842,51.493,0.224,317.69,241.169,0
19.857,3.99E+04,241.842,51.493,0.224,318.295,241.169,0
19.907,3.99E+04,241.842,51.493,0.224,318.171,241.169,0
19.957,3.99E+04,241.842,51.493,0.224,317.769,241.169,0
20.007,3.99E+04,241.842,51.493,0.224,317.36,241.169,0
20.057,3.99E+04,241.842,51.493,0.224,316.994,241.169,0
20.107,3.99E+04,241.842,51.493,0.224,316.907,241.169,0
20.157,3.99E+04,241.842,51.493,0.224,317.035,241.169,0
20.207,3.99E+04,241.842,51.493,0.224,316.91,241.169,0
20.257,3.99E+04,241.842,51.493,0.224,317.174,241.169,0
20.307,3.99E+04,241.842,51.493,0.224,317.688,241.169,0
20.357,3.99E+04,241.842,51.493,0.224,318.472,241.169,0
20.407,3.99E+04,241.842,51.493,0.224,318.238,241.169,0
20.457,3.99E+04,241.842,51.493,0.224,317.937,241.169,0
20.507,3.99E+04,241.842,51.493,0.224,317.26,241.169,0
20.557,3.99E+04,241.842,51.493,0.224,316.989,241.169,0
20.607,3.99E+04,241.842,51.493,0.224,316.784,241.169,0
20.657,3.99E+04,241.842,51.493,0.224,316.351,241.169,0
20.707,3.99E+04,241.842,51.493,0.224,316.487,241.169,0
20.757,3.99E+04,241.842,51.493,0.224,316.462,241.169,0
20.807,3.99E+04,241.842,51.493,0.224,317,241.169,0
20.857,3.99E+04,241.842,51.493,0.224,317.18,241.169,0
20.907,3.99E+04,241.842,51.493,0.224,318.166,241.169,0
20.957,3.99E+04,241.842,51.493,0.224,318.06,241.169,0
21.007,3.99E+04,241.842,51.493,0.224,317.419,241.169,0
21.057,3.99E+04,241.842,51.493,0.224,316.812,241.169,0
21.107,3.99E+04,241.842,51.493,0.224,316.374,241.169,0
21.157,3.99E+04,241.842,51.493,0.224,316.28,241.169,0
21.207,3.99E+04,241.842,51.493,0.224,316.33,241.169,0
21.257,3.99E+04,241.842,51.493,0.224,316.351,241.169,0
21.307,3.99E+04,241.842,51.493,0.224,316.522,241.169,0
21.357,3.99E+04,241.842,51.493,0.224,316.997,241.169,0
21.407,3.99E+04,241.842,51.493,0.224,317.37,241.169,0
21.457,3.99E+04,241.842,51.493,0.224,317.675,241.169,0
21.507,3.99E+04,241.842,51.493,0.224,318.073,241.169,0
21.557,3.99E+04,241.842,51.493,0.224,317.699,241.169,0
21.607,3.99E+04,241.842,51.493,0.224,317.291,241.169,0
21.657,3.99E+04,241.842,51.493,0.224,317.272,241.169,0
21.707,3.99E+04,241.842,51.493,0.224,317.139,241.169,0
21.757,3.99E+04,241.842,51.493,0.224,316.75,241.169,0
21.807,3.99E+04,241.842,51.493,0.224,316.874,241.169,0
21.857,3.99E+04,241.842,51.493,0.224,317.084,241.169,0
21.907,3.99E+04,241.842,51.493,0.224,317.307,241.169,0
21.957,3.99E+04,241.842,51.493,0.224,317.136,241.169,0
22.007,3.99E+04,241.842,51.493,0.224,316.983,241.169,0
22.057,3.99E+04,241.842,51.493,0.224,316.966,241.169,0
22.107,3.99E+04,241.842,51.493,0.224,317.053,241.169,0
22.157,3.99E+04,241.842,51.493,0.224,317.495,241.169,0
22.207,3.99E+04,241.842,51.493,0.224,317.394,241.169,0
22.257,3.99E+04,241.842,51.493,0.224,317.893,241.169,0
22.307,3.99E+04,241.842,51.493,0.224,317.08,241.169,0
22.357,3.99E+04,241.842,51.493,0.224,316.629,241.169,0
22.407,3.99E+04,241.842,51.493,0.224,316.453,241.169,0
22.457,3.99E+04,241.842,51.493,0.224,316.286,241.169,0
22.507,3.99E+04,241.842,51.493,0.224,316.246,241.169,0
22.557,3.99E+04,241.842,51.493,0.224,316.387,241.169,0
22.607,3.99E+04,241.842,51.493,0.224,316.033,241.169,0
22.657,3.99E+04,241.842,51.493,0.224,316.298,241.169,0
22.707,3.99E+04,241.842,51.493,0.224,317.002,241.169,0
22.757,3.99E+04,241.842,51.493,0.224,317.083,241.169,0
22.807,3.99E+04,241.842,51.493,0.224,317.212,241.169,0
22.857,3.99E+04,241.842,51.493,0.224,317.349,241.169,0
22.907,3.99E+04,241.842,51.493,0.224,316.987,241.169,0
22.957,3.99E+04,241.842,51.493,0.224,316.75,241.169,0
23.007,3.99E+04,241.842,51.493,0.224,316.734,241.169,0
23.057,3.99E+04,241.842,51.493,0.224,316.344,241.169,0
23.107,3.99E+04,241.842,51.493,0.224,316.346,241.169,0
23.157,3.99E+04,241.842,51.493,0.224,316.36,241.169,0
23.207,3.99E+04,241.842,51.493,0.224,316.331,241.169,0
23.257,3.99E+04,241.842,51.493,0.224,316.895,241.169,0
23.307,3.99E+04,241.842,51.493,0.224,317.047,241.169,0
23.357,3.99E+04,241.842,51.493,0.224,317.351,241.169,0
23.407,3.99E+04,241.842,51.493,0.224,317.592,241.169,0
23.457,3.99E+04,241.842,51.493,0.224,317.485,241.169,0
23.507,3.99E+04,241.842,51.493,0.224,317.121,241.169,0
23.557,3.99E+04,241.842,51.493,0.224,317.275,241.169,0
23.607,3.99E+04,241.842,51.493,0.224,317.504,241.169,0
23.657,3.99E+04,241.842,51.493,0.224,317.237,241.169,0
23.707,3.99E+04,241.842,51.493,0.224,317.067,241.169,0
23.757,3.99E+04,241.842,51.493,0.224,316.825,241.169,0
23.807,3.99E+04,241.842,51.493,0.224,316.738,241.169,0
23.857,3.99E+04,241.842,51.493,0.224,316.613,241.169,0
23.907,3.99E+04,241.842,51.493,0.224,316.876,241.169,0
23.957,3.99E+04,241.842,51.493,0.224,316.775,241.169,0
24.007,3.99E+04,241.842,51.493,0.224,317.145,241.169,0
24.057,3.99E+04,241.842,51.493,0.224,316.788,241.169,0
24.107,3.99E+04,241.842,51.493,0.224,316.866,241.169,0
24.157,3.99E+04,241.842,51.493,0.224,317.134,241.169,0
24.207,3.99E+04,241.842,51.493,0.224,317.05,241.169,0
24.257,3.99E+04,241.842,51.493,0.224,317.292,241.169,0
24.307,3.99E+04,241.842,51.493,0.224,317.636,241.169,0
24.357,3.99E+04,241.842,51.493,0.224,316.826,241.169,0
24.407,3.99E+04,241.842,51.493,0.224,316.815,241.169,0
24.457,3.99E+04,241.842,51.493,0.224,316.451,241.169,0
24.507,3.99E+04,241.842,51.493,0.224,316.446,241.169,0
24.557,3.99E+04,241.842,51.493,0.224,316.69,241.169,0
24.607,3.99E+04,241.842,51.493,0.224,316.83,241.169,0
24.657,3.99E+04,241.842,51.493,0.224,316.578,241.169,0
24.707,3.99E+04,241.842,51.493,0.224,316.676,241.169,0
24.757,3.99E+04,241.842,51.493,0.224,317.125,241.169,0
24.807,3.99E+04,241.842,51.493,0.224,317.479,241.169,0
24.857,3.99E+04,241.842,51.493,0.224,317.45,241.169,0
24.907,3.99E+04,241.842,51.493,0.224,316.736,241.169,0
24.957,3.99E+04,241.842,51.493,0.224,317.378,241.169,0
25.007,3.99E+04,241.842,51.493,0.224,317.093,241.169,0
25.057,3.99E+04,241.842,51.493,0.224,316.994,241.169,0
25.107,3.99E+04,241.842,51.493,0.224,316.786,241.169,0
25.157,3.99E+04,241.842,51.493,0.224,316.777,241.169,0
25.207,3.99E+04,241.842,51.493,0.224,316.722,241.169,0
25.257,3.99E+04,241.842,51.493,0.224,316.721,241.169,0
25.307,3.99E+04,241.842,51.493,0.224,316.656,241.169,0
25.357,3.99E+04,241.842,51.493,0.224,316.867,241.169,0
25.407,3.99E+04,241.842,51.493,0.224,316.696,241.169,0
25.457,3.99E+04,241.842,51.493,0.224,316.163,241.169,0
25.507,3.99E+04,241.842,51.493,0.224,315.87,241.169,0
25.557,3.99E+04,241.842,51.493,0.224,316.19,241.169,0
25.607,3.99E+04,241.842,51.493,0.224,317.102,241.169,0
25.657,3.99E+04,241.842,51.493,0.224,317.45,241.169,0
25.707,3.99E+04,241.842,51.493,0.224,316.769,241.169,0
25.757,3.99E+04,241.842,51.493,0.224,316.385,241.169,0
25.807,3.99E+04,241.842,51.493,0.224,316.392,241.169,0
25.857,3.99E+04,241.842,51.493,0.224,316.009,241.169,0
25.907,3.99E+04,241.842,51.493,0.224,315.504,241.169,0
25.957,3.99E+04,241.842,51.493,0.224,315.832,241.169,0
26.007,3.99E+04,241.842,51.493,0.224,315.733,241.169,0
26.057,3.99E+04,241.842,51.493,0.224,315.91,241.169,0
26.107,3.99E+04,241.842,51.493,0.224,316.203,241.169,0
26.157,3.99E+04,241.842,51.493,0.224,316.083,241.169,0
26.207,3.99E+04,241.842,51.493,0.224,316.381,241.169,0
26.257,3.99E+04,241.842,51.493,0.224,317.183,241.169,0
26.307,3.99E+04,241.842,51.493,0.224,317.273,241.169,0
26.357,3.99E+04,241.842,51.493,0.224,316.43,241.169,0
26.407,3.99E+04,241.842,51.493,0.224,315.739,241.169,0
26.457,3.99E+04,241.842,51.493,0.224,316.075,241.169,0
26.507,3.99E+04,241.842,51.493,0.224,316.102,241.169,0
26.557,3.99E+04,241.842,51.493,0.224,316.042,241.169,0
26.607,3.99E+04,241.842,51.493,0.224,316.126,241.169,0
26.657,3.99E+04,241.842,51.493,0.224,315.787,241.169,0
26.707,3.99E+04,241.842,51.493,0.224,315.395,241.169,0
26.757,3.99E+04,241.842,51.493,0.224,315.66,241.169,0
26.807,3.99E+04,241.842,51.493,0.224,315.45,241.169,0
26.857,3.99E+04,241.842,51.493,0.224,315.265,241.169,0
26.907,3.99E+04,241.842,51.493,0.224,315.214,241.169,0
26.957,3.99E+04,241.842,51.493,0.224,314.832,241.169,0
27.007,3.99E+04,241.842,51.493,0.224,314.892,241.169,0
27.057,3.99E+04,241.842,51.493,0.224,314.941,241.169,0
27.107,3.99E+04,241.842,51.493,0.224,315.34,241.169,0
27.157,3.99E+04,241.842,51.493,0.224,314.612,241.169,0
27.207,3.99E+04,241.842,51.493,0.224,314.684,241.169,0
27.257,3.99E+04,241.842,51.493,0.224,314.804,241.169,0
27.307,3.99E+04,241.842,51.493,0.224,314.998,241.169,0
27.357,3.99E+04,241.842,51.493,0.224,315.479,241.169,0
27.407,3.99E+04,241.842,51.493,0.224,315.419,241.169,0
27.457,3.99E+04,241.842,51.493,0.224,316.057,241.169,0
27.507,3.99E+04,241.842,51.493,0.224,316.838,241.169,0
27.557,3.99E+04,241.842,51.493,0.224,316.867,241.169,0
27.607,3.99E+04,241.842,51.493,0.224,317.132,241.169,0
27.657,3.99E+04,241.842,51.493,0.224,316.168,241.169,0
27.707,3.99E+04,241.842,51.493,0.224,315.127,241.169,0
27.757,3.99E+04,241.842,51.493,0.224,314.443,241.169,0
27.807,3.99E+04,241.842,51.493,0.224,313.914,241.169,0
27.857,3.99E+04,241.842,51.493,0.224,313.633,241.169,0
27.907,3.99E+04,241.842,51.493,0.224,313.455,241.169,0
27.957,3.99E+04,241.842,51.493,0.224,313.346,241.169,0
28.007,3.99E+04,241.842,51.493,0.224,312.986,241.169,0
28.057,3.99E+04,241.842,51.493,0.224,313.139,241.169,0
28.107,3.99E+04,241.842,51.493,0.224,313.212,241.169,0
28.157,3.99E+04,241.842,51.493,0.224,313.532,241.169,0
28.207,3.99E+04,241.842,51.493,0.224,314.068,241.169,0
28.257,3.99E+04,241.842,51.493,0.224,314.585,241.169,0
28.307,3.99E+04,241.842,51.493,0.224,314.321,241.169,0
28.357,3.99E+04,241.842,51.493,0.224,314.346,241.169,0
28.407,3.99E+04,241.842,51.493,0.224,315.246,241.169,0
28.457,3.99E+04,241.842,51.493,0.224,315.967,241.169,0
28.507,3.99E+04,241.842,51.493,0.224,316.879,241.169,0
28.557,3.99E+04,241.842,51.493,0.224,316.256,241.169,0
28.607,3.99E+04,241.842,51.493,0.224,315.738,241.169,0
28.657,3.99E+04,241.842,51.493,0.224,314.688,241.169,0
28.707,3.99E+04,241.842,51.493,0.224,313.975,241.169,0
28.757,3.99E+04,241.842,51.493,0.224,313.602,241.169,0
28.807,3.99E+04,241.842,51.493,0.224,312.763,241.169,0
28.857,3.99E+04,241.842,51.493,0.224,312.465,241.169,0
28.907,3.99E+04,241.842,51.493,0.224,312.787,241.169,0
28.957,3.99E+04,241.842,51.493,0.224,312.456,241.169,0
29.007,3.99E+04,241.842,51.493,0.224,312.028,241.169,0
29.057,3.99E+04,241.842,51.493,0.224,312.11,241.169,0
29.107,3.99E+04,241.842,51.493,0.224,312.663,241.169,0
29.157,3.99E+04,241.842,51.493,0.224,312.359,241.169,0
29.207,3.99E+04,241.842,51.493,0.224,311.623,241.169,0
29.257,3.99E+04,241.842,51.493,0.224,311.407,241.169,0
29.307,3.99E+04,241.842,51.493,0.224,311.619,241.169,0
29.357,3.99E+04,241.842,51.493,0.224,312.186,241.169,0
29.407,3.99E+04,241.842,51.493,0.224,312.335,241.169,0
29.457,3.99E+04,241.842,51.493,0.224,311.982,241.169,0
29.507,3.99E+04,241.842,51.493,0.224,311.916,241.169,0
29.557,3.99E+04,241.842,51.493,0.224,312.295,241.169,0
29.607,3.99E+04,241.842,51.493,0.224,312.134,241.169,0
29.657,3.99E+04,241.842,51.493,0.224,312.032,241.169,0
29.707,3.99E+04,241.842,51.493,0.224,312.526,241.169,0
29.757,3.99E+04,241.842,51.493,0.224,312.556,241.169,0
29.807,3.99E+04,241.842,51.493,0.224,312.736,241.169,0
29.857,3.99E+04,241.842,51.493,0.224,312.636,241.169,0
29.907,3.99E+04,241.842,51.493,0.224,313.573,241.169,0
29.957,3.99E+04,241.842,51.493,0.224,314.72,241.169,0
30.007,3.99E+04,241.842,51.493,0.224,316.394,241.169,0
30.057,3.99E+04,241.842,51.493,0.224,316.946,241.169,0
30.107,3.99E+04,241.842,51.493,0.224,316.067,241.169,0
30.157,3.99E+04,241.842,51.493,0.224,315.059,241.169,0
30.207,3.99E+04,241.842,51.493,0.224,315.569,241.169,0
30.257,3.99E+04,241.842,51.493,0.224,315.256,241.169,0
30.307,3.99E+04,241.842,51.493,0.224,315.029,241.169,0
30.357,3.99E+04,241.842,51.493,0.224,314.801,241.169,0
30.407,3.99E+04,241.842,51.493,0.224,314.103,241.169,0
30.457,3.99E+04,241.842,51.493,0.224,314.102,241.169,0
30.507,3.99E+04,241.842,51.493,0.224,313.731,241.169,0
30.557,3.99E+04,241.842,51.493,0.224,313.495,241.169,0
30.607,3.99E+04,241.842,51.493,0.224,313.424,241.169,0
30.657,3.99E+04,241.842,51.493,0.224,313.652,241.169,0
30.707,3.99E+04,241.842,51.493,0.224,313.676,241.169,0
30.757,3.99E+04,241.842,51.493,0.224,313.793,241.169,0
30.807,3.99E+04,241.842,51.493,0.224,313.893,241.169,0
30.857,3.99E+04,241.842,51.493,0.224,314.049,241.169,0
30.907,3.99E+04,241.842,51.493,0.224,314.512,241.169,0
30.957,3.99E+04,241.842,51.493,0.224,314.987,241.169,0
31.007,3.99E+04,241.842,51.493,0.224,314.636,241.169,0
31.057,3.99E+04,241.842,51.493,0.224,315.752,241.169,0
31.107,3.99E+04,241.842,51.493,0.224,315.703,241.169,0
31.157,3.99E+04,241.842,51.493,0.224,316.184,241.169,0
31.207,3.99E+04,241.842,51.493,0.224,316.748,241.169,0
31.257,3.99E+04,241.842,51.493,0.224,316.476,241.169,0
31.307,3.99E+04,241.842,51.493,0.224,316.848,241.169,0
31.357,3.99E+04,241.842,51.493,0.224,316.092,241.169,0
31.407,3.99E+04,241.842,51.493,0.224,315.534,241.169,0
31.457,3.99E+04,241.842,51.493,0.224,315.071,241.169,0
31.507,3.99E+04,241.842,51.493,0.224,314.731,241.169,0
31.557,3.99E+04,241.842,51.493,0.224,314.086,241.169,0
31.607,3.99E+04,241.842,51.493,0.224,314.218,241.169,0
31.657,3.99E+04,241.842,51.493,0.224,313.639,241.169,0
31.707,3.99E+04,241.842,51.493,0.224,312.946,241.169,0
31.757,3.99E+04,241.842,51.493,0.224,312.506,241.169,0
31.807,3.99E+04,241.842,51.493,0.224,310.844,241.169,0
31.857,3.99E+04,241.842,51.493,0.224,310.172,241.169,0
31.907,3.99E+04,241.842,51.493,0.224,309.656,241.169,0
31.957,3.99E+04,241.842,51.493,0.224,309.28,241.169,0
32.007,3.99E+04,241.842,51.493,0.224,308.497,241.169,0
32.057,3.99E+04,241.842,51.493,0.224,307.8,241.169,0
32.107,3.99E+04,241.842,51.493,0.224,307.412,241.169,0
32.157,3.99E+04,241.842,51.493,0.224,307.771,241.169,0
32.207,3.99E+04,241.842,51.493,0.224,307.588,241.169,0
32.257,3.99E+04,241.842,51.493,0.224,307.789,241.169,0
32.307,3.99E+04,241.842,51.493,0.224,307.333,241.169,0
32.357,3.99E+04,241.842,51.493,0.224,307.146,241.169,0
32.407,3.99E+04,241.842,51.493,0.224,307.547,241.169,0
32.457,3.99E+04,241.842,51.493,0.224,307.674,241.169,0
32.507,3.99E+04,241.842,51.493,0.224,308.15,241.169,0
32.557,3.99E+04,241.842,51.493,0.224,308.245,241.169,0
32.607,3.99E+04,241.842,51.493,0.224,307.703,241.169,0
32.657,3.99E+04,241.842,51.493,0.224,307.901,241.169,0
32.707,3.99E+04,241.842,51.493,0.224,308.227,241.169,0
32.757,3.99E+04,241.842,51.493,0.224,307.938,241.169,0
32.807,3.99E+04,241.842,51.493,0.224,308.176,241.169,0
32.857,3.99E+04,241.842,51.493,0.224,308.369,241.169,0
32.907,3.99E+04,241.842,51.493,0.224,308.474,241.169,0
32.957,3.99E+04,241.842,51.493,0.224,308.323,241.169,0
33.007,3.99E+04,241.842,51.493,0.224,308.402,241.169,0
33.057,3.99E+04,241.842,51.493,0.224,308.564,241.169,0
33.107,3.99E+04,241.842,51.493,0.224,308.247,241.169,0
33.157,3.99E+04,241.842,51.493,0.224,307.889,241.169,0
33.207,3.99E+04,241.842,51.493,0.224,308.322,241.169,0
33.257,3.99E+04,241.842,51.493,0.224,308.658,241.169,0
33.307,3.99E+04,241.842,51.493,0.224,308.857,241.169,0
33.357,3.99E+04,241.842,51.493,0.224,309.144,241.169,0
33.407,3.99E+04,241.842,51.493,0.224,309.531,241.169,0
33.457,3.99E+04,241.842,51.493,0.224,309.393,241.169,0
33.507,3.99E+04,241.842,51.493,0.224,309.219,241.169,0
33.557,3.99E+04,241.842,51.493,0.224,309,241.169,0
33.607,3.99E+04,241.842,51.493,0.224,309.601,241.169,0
33.657,3.99E+04,241.842,51.493,0.224,309.778,241.169,0
33.707,3.99E+04,241.842,51.493,0.224,310.042,241.169,0
33.757,3.99E+04,241.842,51.493,0.224,310.152,241.169,0
33.807,3.99E+04,241.842,51.493,0.224,310.768,241.169,0
33.857,3.99E+04,241.842,51.493,0.224,311.053,241.169,0
33.907,3.99E+04,241.842,51.493,0.224,310.498,241.169,0
33.957,3.99E+04,241.842,51.493,0.224,309.701,241.169,0
34.007,3.99E+04,241.842,51.493,0.224,309.414,241.169,0
34.057,3.99E+04,241.842,51.493,0.224,309.902,241.169,0
34.107,3.99E+04,241.842,51.493,0.224,309.565,241.169,0
34.157,3.99E+04,241.842,51.493,0.224,309.706,241.169,0
34.207,3.99E+04,241.842,51.493,0.224,309.994,241.169,0
34.257,3.99E+04,241.842,51.493,0.224,309.799,241.169,0
34.307,3.99E+04,241.842,51.493,0.224,309.97,241.169,0
34.357,3.99E+04,241.842,51.493,0.224,310.291,241.169,0
34.407,3.99E+04,241.842,51.493,0.224,309.951,241.169,0
34.457,3.99E+04,241.842,51.493,0.224,309.711,241.169,0
34.507,3.99E+04,241.842,51.493,0.224,309.905,241.169,0
34.557,3.99E+04,241.842,51.493,0.224,309.808,241.169,0
34.607,3.99E+04,241.842,51.493,0.224,309.694,241.169,0
34.657,3.99E+04,241.842,51.493,0.224,309.693,241.169,0
34.707,3.99E+04,241.842,51.493,0.224,309.622,241.169,0
34.757,3.99E+04,241.842,51.493,0.224,309.98,241.169,0
34.807,3.99E+04,241.842,51.493,0.224,309.692,241.169,0
34.857,3.99E+04,241.842,51.493,0.224,309.381,241.169,0
34.907,3.99E+04,241.842,51.493,0.224,309.57,241.169,0
34.957,3.99E+04,241.842,51.493,0.224,309.457,241.169,0
35.007,3.99E+04,241.842,51.493,0.224,309.66,241.169,0
35.057,3.99E+04,241.842,51.493,0.224,309.799,241.169,0
35.107,3.99E+04,241.842,51.493,0.224,309.859,241.169,0
35.157,3.99E+04,241.842,51.493,0.224,309.8,241.169,0
35.207,3.99E+04,241.842,51.493,0.224,309.823,241.169,0
35.257,3.99E+04,241.842,51.493,0.224,309.76,241.169,0
35.307,3.99E+04,241.842,51.493,0.224,309.786,241.169,0
35.357,3.99E+04,241.842,51.493,0.224,309.808,241.169,0
35.407,3.99E+04,241.842,51.493,0.224,309.959,241.169,0
35.457,3.99E+04,241.842,51.493,0.224,309.91,241.169,0
35.507,3.99E+04,241.842,51.493,0.224,310.053,241.169,0
35.557,3.99E+04,241.842,51.493,0.224,310.085,241.169,0
35.607,3.99E+04,241.842,51.493,0.224,310.108,241.169,0
35.657,3.99E+04,241.842,51.493,0.224,310.143,241.169,0
35.707,3.99E+04,241.842,51.493,0.224,310.2,241.169,0
35.757,3.99E+04,241.842,51.493,0.224,310.294,241.169,0
35.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
36.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
36.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
37.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
37.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
38.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
38.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
39.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
39.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
40.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
40.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
41.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
41.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
42.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
42.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
43.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
43.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
44.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
44.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
45.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
45.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
46.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
46.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
47.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
47.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
48.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
48.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
49.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
49.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
50.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
50.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
51.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
51.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
52.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
52.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
53.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
53.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
54.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
54.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
55.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
55.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
56.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
56.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
57.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
57.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
58.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
58.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
59.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
59.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
60.262,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
60.762,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
