# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag coefficient (​)
77.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.226,0,NaN
77.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.226,0,NaN
78.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.225,0,NaN
78.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.225,0,NaN
79.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.224,0,NaN
79.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.224,0,NaN
80.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.223,0,NaN
80.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.223,0,NaN
81.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.222,0,NaN
81.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.221,0,NaN
82.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.221,0,NaN
82.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.22,0,NaN
83.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.22,0,NaN
83.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.219,0,NaN
84.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.219,0,NaN
84.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.218,0,NaN
85.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.218,0,NaN
85.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.217,0,NaN
86.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.217,0,NaN
86.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.216,0,NaN
87.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.216,0,NaN
87.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.215,0,NaN
88.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.215,0,NaN
88.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.214,0,NaN
89.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.214,0,NaN
89.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.213,0,NaN
90.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.213,0,NaN
90.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.212,0,NaN
91.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.212,0,NaN
91.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.211,0,NaN
92.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.211,0,NaN
92.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.211,0,NaN
93.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.21,0,NaN
93.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.21,0,NaN
94.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.209,0,NaN
94.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.209,0,NaN
95.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.208,0,NaN
95.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.208,0,NaN
96.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.207,0,NaN
96.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.207,0,NaN
97.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.206,0,NaN
97.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.206,0,NaN
98.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.205,0,NaN
98.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.205,0,NaN
99.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.205,0,NaN
99.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.204,0,NaN
100.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.204,0,NaN
100.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.203,0,NaN
101.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.203,0,NaN
101.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.202,0,NaN
102.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.202,0,NaN
102.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.202,0,NaN
103.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.201,0,NaN
103.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.201,0,NaN
104.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.2,0,NaN
104.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.2,0,NaN
105.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.199,0,NaN
105.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.199,0,NaN
106.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.199,0,NaN
106.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.198,0,NaN
107.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.198,0,NaN
107.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.197,0,NaN
108.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.197,0,NaN
108.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.197,0,NaN
109.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.196,0,NaN
109.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.196,0,NaN
110.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.195,0,NaN
110.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.195,0,NaN
111.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.195,0,NaN
111.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.194,0,NaN
112.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.194,0,NaN
112.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.193,0,NaN
113.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.193,0,NaN
113.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.193,0,NaN
114.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.192,0,NaN
114.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.192,0,NaN
115.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.191,0,NaN
115.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.191,0,NaN
116.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.191,0,NaN
116.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.19,0,NaN
117.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.19,0,NaN
117.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.19,0,NaN
118.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.189,0,NaN
118.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.189,0,NaN
119.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.188,0,NaN
119.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.188,0,NaN
120.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.188,0,NaN
120.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.187,0,NaN
121.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.187,0,NaN
121.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.187,0,NaN
122.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.186,0,NaN
122.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.186,0,NaN
123.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.186,0,NaN
123.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.185,0,NaN
124.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.185,0,NaN
124.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.184,0,NaN
125.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.184,0,NaN
125.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.184,0,NaN
126.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.183,0,NaN
126.762,3.985e4,241.842,NaN,NaN,NaN,NaN,0.183,0,NaN
127.262,3.985e4,241.842,NaN,NaN,NaN,NaN,0.183,0,NaN
127.263,3.985e4,241.842,NaN,NaN,NaN,NaN,0.182,0,NaN
127.264,3.985e4,241.842,NaN,NaN,NaN,NaN,0.18,0,NaN
127.265,3.985e4,241.842,NaN,NaN,NaN,NaN,0.178,0,NaN
127.266,3.985e4,241.842,NaN,NaN,NaN,NaN,0.176,0,NaN
127.267,3.985e4,241.842,NaN,NaN,NaN,NaN,0.173,0,NaN
127.268,3.985e4,241.842,NaN,NaN,NaN,NaN,0.171,0,NaN
127.269,3.985e4,241.842,NaN,NaN,NaN,NaN,0.169,0,NaN
127.27,3.985e4,241.842,NaN,NaN,NaN,NaN,0.167,0,NaN
127.271,3.985e4,241.842,NaN,NaN,NaN,NaN,0.165,0,NaN
127.272,3.985e4,241.842,NaN,NaN,NaN,NaN,0.163,0,NaN
127.273,3.985e4,241.842,NaN,NaN,NaN,NaN,0.162,0,NaN
127.274,3.985e4,241.842,NaN,NaN,NaN,NaN,0.16,0,NaN
127.275,3.985e4,241.842,NaN,NaN,NaN,NaN,0.158,0,NaN
127.276,3.985e4,241.842,NaN,NaN,NaN,NaN,0.156,0,NaN
127.277,3.985e4,241.842,NaN,NaN,NaN,NaN,0.155,0,NaN
127.278,3.985e4,241.842,NaN,NaN,NaN,NaN,0.153,0,NaN
127.279,3.985e4,241.842,NaN,NaN,NaN,NaN,0.151,0,NaN
127.28,3.985e4,241.842,NaN,NaN,NaN,NaN,0.15,0,NaN
127.281,3.985e4,241.842,NaN,NaN,NaN,NaN,0.148,0,NaN
127.282,3.985e4,241.842,NaN,NaN,NaN,NaN,0.147,0,NaN
127.283,3.985e4,241.842,NaN,NaN,NaN,NaN,0.145,0,NaN
127.284,3.985e4,241.842,NaN,NaN,NaN,NaN,0.144,0,NaN
127.285,3.985e4,241.842,NaN,NaN,NaN,NaN,0.142,0,NaN
127.286,3.985e4,241.842,NaN,NaN,NaN,NaN,0.141,0,NaN
127.287,3.985e4,241.842,NaN,NaN,NaN,NaN,0.139,0,NaN
127.288,3.985e4,241.842,NaN,NaN,NaN,NaN,0.138,0,NaN
127.289,3.985e4,241.842,NaN,NaN,NaN,NaN,0.137,0,NaN
127.29,3.985e4,241.842,NaN,NaN,NaN,NaN,0.136,0,NaN
127.291,3.985e4,241.842,NaN,NaN,NaN,NaN,0.134,0,NaN
127.292,3.985e4,241.842,NaN,NaN,NaN,NaN,0.133,0,NaN
127.293,3.985e4,241.842,NaN,NaN,NaN,NaN,0.132,0,NaN
127.294,3.985e4,241.842,NaN,NaN,NaN,NaN,0.131,0,NaN
127.295,3.985e4,241.842,NaN,NaN,NaN,NaN,0.129,0,NaN
127.296,3.985e4,241.842,NaN,NaN,NaN,NaN,0.128,0,NaN
127.297,3.985e4,241.842,NaN,NaN,NaN,NaN,0.127,0,NaN
127.298,3.985e4,241.842,NaN,NaN,NaN,NaN,0.126,0,NaN
127.299,3.985e4,241.842,NaN,NaN,NaN,NaN,0.125,0,NaN
127.3,3.985e4,241.842,NaN,NaN,NaN,NaN,0.124,0,NaN
127.301,3.985e4,241.842,NaN,NaN,NaN,NaN,0.123,0,NaN
127.302,3.985e4,241.842,NaN,NaN,NaN,NaN,0.122,0,NaN
127.303,3.985e4,241.842,NaN,NaN,NaN,NaN,0.121,0,NaN
127.304,3.985e4,241.842,NaN,NaN,NaN,NaN,0.12,0,NaN
127.305,3.985e4,241.842,NaN,NaN,NaN,NaN,0.119,0,NaN
127.306,3.985e4,241.842,NaN,NaN,NaN,NaN,0.118,0,NaN
127.307,3.985e4,241.842,NaN,NaN,NaN,NaN,0.117,0,NaN
127.308,3.985e4,241.842,NaN,NaN,NaN,NaN,0.116,0,NaN
127.309,3.985e4,241.842,NaN,NaN,NaN,NaN,0.115,0,NaN
127.31,3.985e4,241.842,NaN,NaN,NaN,NaN,0.114,0,NaN
127.311,3.985e4,241.842,NaN,NaN,NaN,NaN,0.113,0,NaN
127.312,3.985e4,241.842,NaN,NaN,NaN,NaN,0.112,0,NaN
127.313,3.985e4,241.842,NaN,NaN,NaN,NaN,0.111,0,NaN
127.314,3.985e4,241.842,NaN,NaN,NaN,NaN,0.111,0,NaN
127.315,3.985e4,241.842,NaN,NaN,NaN,NaN,0.11,0,NaN
127.316,3.985e4,241.842,NaN,NaN,NaN,NaN,0.109,0,NaN
127.317,3.985e4,241.842,NaN,NaN,NaN,NaN,0.108,0,NaN
127.318,3.985e4,241.842,NaN,NaN,NaN,NaN,0.107,0,NaN
127.319,3.985e4,241.842,NaN,NaN,NaN,NaN,0.107,0,NaN
127.32,3.985e4,241.842,NaN,NaN,NaN,NaN,0.106,0,NaN
127.321,3.985e4,241.842,NaN,NaN,NaN,NaN,0.105,0,NaN
127.322,3.985e4,241.842,NaN,NaN,NaN,NaN,0.104,0,NaN
127.323,3.985e4,241.842,NaN,NaN,NaN,NaN,0.103,0,NaN
127.324,3.985e4,241.842,NaN,NaN,NaN,NaN,0.103,0,NaN
127.325,3.985e4,241.842,NaN,NaN,NaN,NaN,0.102,0,NaN
127.326,3.985e4,241.842,NaN,NaN,NaN,NaN,0.101,0,NaN
127.327,3.985e4,241.842,NaN,NaN,NaN,NaN,0.101,0,NaN
127.328,3.985e4,241.842,NaN,NaN,NaN,NaN,0.1,0,NaN
127.329,3.985e4,241.842,NaN,NaN,NaN,NaN,0.099,0,NaN
127.33,3.985e4,241.842,NaN,NaN,NaN,NaN,0.099,0,NaN
127.331,3.985e4,241.842,NaN,NaN,NaN,NaN,0.098,0,NaN
127.332,3.985e4,241.842,NaN,NaN,NaN,NaN,0.097,0,NaN
127.333,3.985e4,241.842,NaN,NaN,NaN,NaN,0.097,0,NaN
127.334,3.985e4,241.842,NaN,NaN,NaN,NaN,0.096,0,NaN
127.335,3.985e4,241.842,NaN,NaN,NaN,NaN,0.095,0,NaN
127.336,3.985e4,241.842,NaN,NaN,NaN,NaN,0.095,0,NaN
127.337,3.985e4,241.842,NaN,NaN,NaN,NaN,0.094,0,NaN
127.338,3.985e4,241.842,NaN,NaN,NaN,NaN,0.094,0,NaN
127.339,3.985e4,241.842,NaN,NaN,NaN,NaN,0.093,0,NaN
127.34,3.985e4,241.842,NaN,NaN,NaN,NaN,0.092,0,NaN
127.341,3.985e4,241.842,NaN,NaN,NaN,NaN,0.092,0,NaN
127.342,3.985e4,241.842,NaN,NaN,NaN,NaN,0.091,0,NaN
127.343,3.985e4,241.842,NaN,NaN,NaN,NaN,0.091,0,NaN
127.344,3.985e4,241.842,NaN,NaN,NaN,NaN,0.09,0,NaN
127.345,3.985e4,241.842,NaN,NaN,NaN,NaN,0.09,0,NaN
127.346,3.985e4,241.842,NaN,NaN,NaN,NaN,0.089,0,NaN
127.347,3.985e4,241.842,NaN,NaN,NaN,NaN,0.089,0,NaN
127.348,3.985e4,241.842,NaN,NaN,NaN,NaN,0.088,0,NaN
127.349,3.985e4,241.842,NaN,NaN,NaN,NaN,0.088,0,NaN
127.35,3.985e4,241.842,NaN,NaN,NaN,NaN,0.087,0,NaN
127.351,3.985e4,241.842,NaN,NaN,NaN,NaN,0.086,0,NaN
127.352,3.985e4,241.842,NaN,NaN,NaN,NaN,0.086,0,NaN
127.353,3.985e4,241.842,NaN,NaN,NaN,NaN,0.085,0,NaN
127.354,3.985e4,241.842,NaN,NaN,NaN,NaN,0.085,0,NaN
127.355,3.985e4,241.842,NaN,NaN,NaN,NaN,0.085,0,NaN
127.356,3.985e4,241.842,NaN,NaN,NaN,NaN,0.084,0,NaN
127.357,3.985e4,241.842,NaN,NaN,NaN,NaN,0.084,0,NaN
127.358,3.985e4,241.842,NaN,NaN,NaN,NaN,0.083,0,NaN
127.359,3.985e4,241.842,NaN,NaN,NaN,NaN,0.083,0,NaN
127.36,3.985e4,241.842,NaN,NaN,NaN,NaN,0.082,0,NaN
127.361,3.985e4,241.842,NaN,NaN,NaN,NaN,0.082,0,NaN
127.362,3.985e4,241.842,NaN,NaN,NaN,NaN,0.081,0,NaN
127.363,3.985e4,241.842,NaN,NaN,NaN,NaN,0.081,0,NaN
127.364,3.985e4,241.842,NaN,NaN,NaN,NaN,0.08,0,NaN
127.365,3.985e4,241.842,NaN,NaN,NaN,NaN,0.08,0,NaN
127.366,3.985e4,241.842,NaN,NaN,NaN,NaN,0.08,0,NaN
127.367,3.985e4,241.842,NaN,NaN,NaN,NaN,0.079,0,NaN
127.368,3.985e4,241.842,NaN,NaN,NaN,NaN,0.079,0,NaN
127.369,3.985e4,241.842,NaN,NaN,NaN,NaN,0.078,0,NaN
127.37,3.985e4,241.842,NaN,NaN,NaN,NaN,0.078,0,NaN
127.371,3.985e4,241.842,NaN,NaN,NaN,NaN,0.078,0,NaN
127.372,3.985e4,241.842,NaN,NaN,NaN,NaN,0.077,0,NaN
127.373,3.985e4,241.842,NaN,NaN,NaN,NaN,0.077,0,NaN
127.374,3.985e4,241.842,NaN,NaN,NaN,NaN,0.076,0,NaN
127.375,3.985e4,241.842,NaN,NaN,NaN,NaN,0.076,0,NaN
127.376,3.985e4,241.842,NaN,NaN,NaN,NaN,0.076,0,NaN
127.377,3.985e4,241.842,NaN,NaN,NaN,NaN,0.075,0,NaN
127.378,3.985e4,241.842,NaN,NaN,NaN,NaN,0.075,0,NaN
127.379,3.985e4,241.842,NaN,NaN,NaN,NaN,0.074,0,NaN
127.38,3.985e4,241.842,NaN,NaN,NaN,NaN,0.074,0,NaN
127.381,3.985e4,241.842,NaN,NaN,NaN,NaN,0.074,0,NaN
127.382,3.985e4,241.842,NaN,NaN,NaN,NaN,0.073,0,NaN
127.383,3.985e4,241.842,NaN,NaN,NaN,NaN,0.073,0,NaN
127.384,3.985e4,241.842,NaN,NaN,NaN,NaN,0.073,0,NaN
127.385,3.985e4,241.842,NaN,NaN,NaN,NaN,0.072,0,NaN
127.386,3.985e4,241.842,NaN,NaN,NaN,NaN,0.072,0,NaN
127.387,3.985e4,241.842,NaN,NaN,NaN,NaN,0.072,0,NaN
127.388,3.985e4,241.842,NaN,NaN,NaN,NaN,0.071,0,NaN
127.389,3.985e4,241.842,NaN,NaN,NaN,NaN,0.071,0,NaN
127.39,3.985e4,241.842,NaN,NaN,NaN,NaN,0.071,0,NaN
127.391,3.985e4,241.842,NaN,NaN,NaN,NaN,0.07,0,NaN
127.392,3.985e4,241.842,NaN,NaN,NaN,NaN,0.07,0,NaN
127.393,3.985e4,241.842,NaN,NaN,NaN,NaN,0.07,0,NaN
127.394,3.985e4,241.842,NaN,NaN,NaN,NaN,0.069,0,NaN
127.395,3.985e4,241.842,NaN,NaN,NaN,NaN,0.069,0,NaN
127.396,3.985e4,241.842,NaN,NaN,NaN,NaN,0.069,0,NaN
127.397,3.985e4,241.842,NaN,NaN,NaN,NaN,0.068,0,NaN
127.398,3.985e4,241.842,NaN,NaN,NaN,NaN,0.068,0,NaN
127.399,3.985e4,241.842,NaN,NaN,NaN,NaN,0.068,0,NaN
127.4,3.985e4,241.842,NaN,NaN,NaN,NaN,0.068,0,NaN
127.401,3.985e4,241.842,NaN,NaN,NaN,NaN,0.067,0,NaN
127.402,3.985e4,241.842,NaN,NaN,NaN,NaN,0.067,0,NaN
127.403,3.985e4,241.842,NaN,NaN,NaN,NaN,0.067,0,NaN
127.404,3.985e4,241.842,NaN,NaN,NaN,NaN,0.066,0,NaN
127.405,3.985e4,241.842,NaN,NaN,NaN,NaN,0.066,0,NaN
127.406,3.985e4,241.842,NaN,NaN,NaN,NaN,0.066,0,NaN
127.407,3.985e4,241.842,NaN,NaN,NaN,NaN,0.065,0,NaN
127.409,3.985e4,241.842,NaN,NaN,NaN,NaN,0.065,0,NaN
127.41,3.985e4,241.842,NaN,NaN,NaN,NaN,0.065,0,NaN
127.411,3.985e4,241.842,NaN,NaN,NaN,NaN,0.064,0,NaN
127.412,3.985e4,241.842,NaN,NaN,NaN,NaN,0.064,0,NaN
127.413,3.985e4,241.842,NaN,NaN,NaN,NaN,0.064,0,NaN
127.415,3.985e4,241.842,NaN,NaN,NaN,NaN,0.064,0,NaN
127.416,3.985e4,241.842,NaN,NaN,NaN,NaN,0.063,0,NaN
127.417,3.985e4,241.842,NaN,NaN,NaN,NaN,0.063,0,NaN
127.419,3.985e4,241.842,NaN,NaN,NaN,NaN,0.063,0,NaN
127.42,3.985e4,241.842,NaN,NaN,NaN,NaN,0.062,0,NaN
127.421,3.985e4,241.842,NaN,NaN,NaN,NaN,0.062,0,NaN
127.423,3.985e4,241.842,NaN,NaN,NaN,NaN,0.062,0,NaN
127.424,3.985e4,241.842,NaN,NaN,NaN,NaN,0.061,0,NaN
127.425,3.985e4,241.842,NaN,NaN,NaN,NaN,0.061,0,NaN
127.427,3.985e4,241.842,NaN,NaN,NaN,NaN,0.061,0,NaN
127.428,3.985e4,241.842,NaN,NaN,NaN,NaN,0.06,0,NaN
127.43,3.985e4,241.842,NaN,NaN,NaN,NaN,0.06,0,NaN
127.432,3.985e4,241.842,NaN,NaN,NaN,NaN,0.06,0,NaN
127.433,3.985e4,241.842,NaN,NaN,NaN,NaN,0.059,0,NaN
127.435,3.985e4,241.842,NaN,NaN,NaN,NaN,0.059,0,NaN
127.436,3.985e4,241.842,NaN,NaN,NaN,NaN,0.058,0,NaN
127.438,3.985e4,241.842,NaN,NaN,NaN,NaN,0.058,0,NaN
127.44,3.985e4,241.842,NaN,NaN,NaN,NaN,0.058,0,NaN
127.441,3.985e4,241.842,NaN,NaN,NaN,NaN,0.057,0,NaN
127.443,3.985e4,241.842,NaN,NaN,NaN,NaN,0.057,0,NaN
127.445,3.985e4,241.842,NaN,NaN,NaN,NaN,0.057,0,NaN
127.447,3.985e4,241.842,NaN,NaN,NaN,NaN,0.056,0,NaN
127.449,3.985e4,241.842,NaN,NaN,NaN,NaN,0.056,0,NaN
127.451,3.985e4,241.842,NaN,NaN,NaN,NaN,0.056,0,NaN
127.453,3.985e4,241.842,NaN,NaN,NaN,NaN,0.055,0,NaN
127.455,3.985e4,241.842,NaN,NaN,NaN,NaN,0.055,0,NaN
127.457,3.985e4,241.842,NaN,NaN,NaN,NaN,0.055,0,NaN
127.459,3.985e4,241.842,NaN,NaN,NaN,NaN,0.054,0,NaN
127.461,3.985e4,241.842,NaN,NaN,NaN,NaN,0.054,0,NaN
127.463,3.985e4,241.842,NaN,NaN,NaN,NaN,0.053,0,NaN
127.466,3.985e4,241.842,NaN,NaN,NaN,NaN,0.053,0,NaN
127.468,3.985e4,241.842,NaN,NaN,NaN,NaN,0.053,0,NaN
127.47,3.985e4,241.842,NaN,NaN,NaN,NaN,0.052,0,NaN
127.473,3.985e4,241.842,NaN,NaN,NaN,NaN,0.052,0,NaN
127.475,3.985e4,241.842,NaN,NaN,NaN,NaN,0.051,0,NaN
127.478,3.985e4,241.842,NaN,NaN,NaN,NaN,0.051,0,NaN
127.48,3.985e4,241.842,NaN,NaN,NaN,NaN,0.051,0,NaN
127.483,3.985e4,241.842,NaN,NaN,NaN,NaN,0.05,0,NaN
127.486,3.985e4,241.842,NaN,NaN,NaN,NaN,0.05,0,NaN
127.489,3.985e4,241.842,NaN,NaN,NaN,NaN,0.049,0,NaN
127.492,3.985e4,241.842,NaN,NaN,NaN,NaN,0.049,0,NaN
127.495,3.985e4,241.842,NaN,NaN,NaN,NaN,0.049,0,NaN
127.498,3.985e4,241.842,NaN,NaN,NaN,NaN,0.048,0,NaN
127.501,3.985e4,241.842,NaN,NaN,NaN,NaN,0.048,0,NaN
127.504,3.985e4,241.842,NaN,NaN,NaN,NaN,0.047,0,NaN
127.508,3.985e4,241.842,NaN,NaN,NaN,NaN,0.047,0,NaN
127.511,3.985e4,241.842,NaN,NaN,NaN,NaN,0.046,0,NaN
127.515,3.985e4,241.842,NaN,NaN,NaN,NaN,0.046,0,NaN
127.519,3.985e4,241.842,NaN,NaN,NaN,NaN,0.046,0,NaN
127.522,3.985e4,241.842,NaN,NaN,NaN,NaN,0.045,0,NaN
127.526,3.985e4,241.842,NaN,NaN,NaN,NaN,0.045,0,NaN
127.531,3.985e4,241.842,NaN,NaN,NaN,NaN,0.044,0,NaN
127.535,3.985e4,241.842,NaN,NaN,NaN,NaN,0.044,0,NaN
127.539,3.985e4,241.842,NaN,NaN,NaN,NaN,0.043,0,NaN
127.544,3.985e4,241.842,NaN,NaN,NaN,NaN,0.043,0,NaN
127.549,3.985e4,241.842,NaN,NaN,NaN,NaN,0.042,0,NaN
127.554,3.985e4,241.842,NaN,NaN,NaN,NaN,0.042,0,NaN
127.559,3.985e4,241.842,NaN,NaN,NaN,NaN,0.041,0,NaN
127.564,3.985e4,241.842,NaN,NaN,NaN,NaN,0.041,0,NaN
127.57,3.985e4,241.842,NaN,NaN,NaN,NaN,0.041,0,NaN
127.576,3.985e4,241.842,NaN,NaN,NaN,NaN,0.04,0,NaN
127.582,3.985e4,241.842,NaN,NaN,NaN,NaN,0.04,0,NaN
127.589,3.985e4,241.842,NaN,NaN,NaN,NaN,0.039,0,NaN
127.596,3.985e4,241.842,NaN,NaN,NaN,NaN,0.038,0,NaN
127.603,3.985e4,241.842,NaN,NaN,NaN,NaN,0.038,0,NaN
127.61,3.985e4,241.842,NaN,NaN,NaN,NaN,0.037,0,NaN
127.618,3.985e4,241.842,NaN,NaN,NaN,NaN,0.037,0,NaN
127.627,3.985e4,241.842,NaN,NaN,NaN,NaN,0.036,0,NaN
127.636,3.985e4,241.842,NaN,NaN,NaN,NaN,0.036,0,NaN
127.645,3.985e4,241.842,NaN,NaN,NaN,NaN,0.035,0,NaN
127.655,3.985e4,241.842,NaN,NaN,NaN,NaN,0.035,0,NaN
127.666,3.985e4,241.842,NaN,NaN,NaN,NaN,0.034,0,NaN
127.677,3.985e4,241.842,NaN,NaN,NaN,NaN,0.034,0,NaN
127.689,3.985e4,241.842,NaN,NaN,NaN,NaN,0.033,0,NaN
127.703,3.985e4,241.842,NaN,NaN,NaN,NaN,0.032,0,NaN
127.717,3.985e4,241.842,NaN,NaN,NaN,NaN,0.032,0,NaN
127.732,3.985e4,241.842,NaN,NaN,NaN,NaN,0.031,0,NaN
127.749,3.985e4,241.842,NaN,NaN,NaN,NaN,0.031,0,NaN
127.767,3.985e4,241.842,NaN,NaN,NaN,NaN,0.03,0,NaN
127.788,3.985e4,241.842,NaN,NaN,NaN,NaN,0.029,0,NaN
127.81,3.985e4,241.842,NaN,NaN,NaN,NaN,0.029,0,NaN
127.835,3.985e4,241.842,NaN,NaN,NaN,NaN,0.028,0,NaN
127.863,3.985e4,241.842,NaN,NaN,NaN,NaN,0.027,0,NaN
127.894,3.985e4,241.842,NaN,NaN,NaN,NaN,0.027,0,NaN
127.93,3.985e4,241.842,NaN,NaN,NaN,NaN,0.026,0,NaN
127.972,3.985e4,241.842,NaN,NaN,NaN,NaN,0.025,0,NaN
128.021,3.985e4,241.842,NaN,NaN,NaN,NaN,0.025,0,NaN
128.082,3.985e4,241.842,NaN,NaN,NaN,NaN,0.024,0,NaN
128.157,3.985e4,241.842,NaN,NaN,NaN,NaN,0.023,0,NaN
128.246,3.985e4,241.842,NaN,NaN,NaN,NaN,0.023,0,NaN
128.376,3.985e4,241.842,NaN,NaN,NaN,NaN,0.022,0,NaN
128.564,3.985e4,241.842,NaN,NaN,NaN,NaN,0.021,0,NaN
128.851,3.985e4,241.842,NaN,NaN,NaN,NaN,0.021,0,NaN
129.351,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
129.851,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
130.351,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,NaN
