# Time (s),Altitude (m),Vertical velocity (m/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag force (N),Drag coefficient (​)
127.596,403.693,-12.912,3.985e4,241.842,NaN,NaN,NaN,NaN,0.039,0,1419.915,NaN
127.603,403.601,-12.733,3.985e4,241.842,NaN,NaN,NaN,NaN,0.038,0,1381.994,NaN
127.61,403.505,-12.553,3.985e4,241.842,NaN,NaN,NaN,NaN,0.037,0,1344.135,NaN
127.618,403.406,-12.371,3.985e4,241.842,NaN,NaN,NaN,NaN,0.037,0,1306.343,NaN
127.627,403.303,-12.186,3.985e4,241.842,NaN,NaN,NaN,NaN,0.036,0,1268.64,NaN
127.635,403.196,-11.998,3.985e4,241.842,NaN,NaN,NaN,NaN,0.036,0,1231.014,NaN
127.645,403.084,-11.808,3.985e4,241.842,NaN,NaN,NaN,NaN,0.035,0,1193.472,NaN
127.655,402.966,-11.616,3.985e4,241.842,NaN,NaN,NaN,NaN,0.035,0,1156.019,NaN
127.666,402.843,-11.421,3.985e4,241.842,NaN,NaN,NaN,NaN,0.034,0,1118.667,NaN
127.677,402.714,-11.223,3.985e4,241.842,NaN,NaN,NaN,NaN,0.034,0,1081.437,NaN
127.689,402.578,-11.022,3.985e4,241.842,NaN,NaN,NaN,NaN,0.033,0,1044.338,NaN
127.702,402.434,-10.818,3.985e4,241.842,NaN,NaN,NaN,NaN,0.032,0,1007.367,NaN
127.717,402.281,-10.611,3.985e4,241.842,NaN,NaN,NaN,NaN,0.032,0,970.519,NaN
127.732,402.12,-10.402,3.985e4,241.842,NaN,NaN,NaN,NaN,0.031,0,933.719,NaN
127.749,401.947,-10.189,3.985e4,241.842,NaN,NaN,NaN,NaN,0.031,0,897.149,NaN
127.767,401.762,-9.972,3.985e4,241.842,NaN,NaN,NaN,NaN,0.03,0,860.758,NaN
127.787,401.564,-9.753,3.985e4,241.842,NaN,NaN,NaN,NaN,0.029,0,824.716,NaN
127.81,401.349,-9.531,3.985e4,241.842,NaN,NaN,NaN,NaN,0.029,0,789.139,NaN
127.834,401.114,-9.304,3.985e4,241.842,NaN,NaN,NaN,NaN,0.028,0,753.686,NaN
127.862,400.86,-9.077,3.985e4,241.842,NaN,NaN,NaN,NaN,0.027,0,717.999,NaN
127.894,400.577,-8.845,3.985e4,241.842,NaN,NaN,NaN,NaN,0.027,0,683.326,NaN
127.93,400.259,-8.609,3.985e4,241.842,NaN,NaN,NaN,NaN,0.026,0,648.834,NaN
127.973,399.898,-8.371,3.985e4,241.842,NaN,NaN,NaN,NaN,0.025,0,614.654,NaN
128.022,399.488,-8.134,3.985e4,241.842,NaN,NaN,NaN,NaN,0.025,0,581.064,NaN
128.076,399.055,-7.919,3.985e4,241.842,NaN,NaN,NaN,NaN,0.024,0,549.291,NaN
128.15,398.481,-7.679,3.985e4,241.842,NaN,NaN,NaN,NaN,0.023,0,521.511,NaN
128.226,397.901,-7.49,3.985e4,241.842,NaN,NaN,NaN,NaN,0.023,0,489.149,NaN
128.355,396.953,-7.25,3.985e4,241.842,NaN,NaN,NaN,NaN,0.022,0,465.446,NaN
128.527,395.72,-7.054,3.985e4,241.842,NaN,NaN,NaN,NaN,0.021,0,436.252,NaN
128.821,393.675,-6.892,3.985e4,241.842,NaN,NaN,NaN,NaN,0.021,0,412.918,NaN
129.321,390.239,-6.85,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,394.087,NaN
129.821,386.81,-6.866,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.553,NaN
130.321,383.379,-6.857,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.637,NaN
130.821,379.95,-6.86,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.571,NaN
131.321,376.523,-6.848,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.601,NaN
131.821,373.096,-6.86,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.944,NaN
132.321,369.669,-6.848,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.312,NaN
132.821,366.243,-6.857,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.242,NaN
133.321,362.816,-6.852,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.198,NaN
133.806,359.496,-6.82,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,396.266,NaN
134.209,356.744,-6.857,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,387.149,NaN
134.709,353.317,-6.849,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.469,NaN
135.209,349.893,-6.849,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.952,NaN
135.709,346.469,-6.849,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.834,NaN
136.209,343.046,-6.842,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.735,NaN
136.709,339.624,-6.848,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.34,NaN
137.209,336.203,-6.834,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.858,NaN
137.709,332.782,-6.849,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.576,NaN
138.209,329.36,-6.839,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.69,NaN
138.709,325.94,-6.843,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.65,NaN
139.209,322.519,-6.841,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.976,NaN
139.689,319.237,-6.814,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,395.231,NaN
140.078,316.588,-6.841,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,388.08,NaN
140.578,313.168,-6.837,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.153,NaN
141.078,309.75,-6.835,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.125,NaN
141.578,306.333,-6.833,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.255,NaN
142.078,302.916,-6.836,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.607,NaN
142.578,299.499,-6.833,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.076,NaN
143.078,296.083,-6.832,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.917,NaN
143.578,292.668,-6.828,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.478,NaN
144.078,289.253,-6.831,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.551,NaN
144.578,285.839,-6.827,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.38,NaN
145.078,282.425,-6.829,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.649,NaN
145.578,279.011,-6.827,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.012,NaN
146.078,275.599,-6.82,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.789,NaN
146.578,272.188,-6.824,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.762,NaN
147.078,268.778,-6.814,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.414,NaN
147.578,265.368,-6.827,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.815,NaN
148.078,261.957,-6.818,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.669,NaN
148.578,258.55,-6.808,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.8,NaN
148.917,256.239,-6.811,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.541,NaN
149.417,252.832,-6.815,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.039,NaN
149.917,249.424,-6.818,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.762,NaN
150.417,246.015,-6.817,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.915,NaN
150.917,242.607,-6.815,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.948,NaN
151.417,239.203,-6.801,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,393.036,NaN
151.917,235.798,-6.819,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.426,NaN
152.417,232.392,-6.804,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.538,NaN
152.917,228.988,-6.813,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.241,NaN
153.417,225.585,-6.798,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.866,NaN
153.917,222.182,-6.813,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.76,NaN
154.417,218.778,-6.806,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.38,NaN
154.917,215.374,-6.807,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.823,NaN
155.417,211.971,-6.806,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.948,NaN
155.917,208.574,-6.783,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,394.446,NaN
156.233,206.428,-6.796,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.053,NaN
156.733,203.034,-6.781,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,394.156,NaN
157.12,200.408,-6.804,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,388.572,NaN
157.62,197.008,-6.798,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.623,NaN
158.12,193.61,-6.795,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.742,NaN
158.535,190.785,-6.795,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.662,NaN
159.035,187.388,-6.797,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.283,NaN
159.535,183.988,-6.801,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.537,NaN
160.035,180.588,-6.8,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.972,NaN
160.535,177.19,-6.793,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.993,NaN
161.035,173.791,-6.802,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.082,NaN
161.535,170.391,-6.797,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.354,NaN
162.035,166.992,-6.799,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.688,NaN
162.535,163.593,-6.797,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.014,NaN
163.035,160.195,-6.796,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.082,NaN
163.535,156.798,-6.793,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.458,NaN
164.035,153.408,-6.765,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,395.702,NaN
164.381,151.068,-6.795,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,387.633,NaN
164.881,147.671,-6.791,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.549,NaN
165.381,144.275,-6.792,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.225,NaN
165.881,140.879,-6.795,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.695,NaN
166.262,138.288,-6.772,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,395.544,NaN
166.621,135.857,-6.795,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,388.325,NaN
167.121,132.461,-6.789,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.596,NaN
167.621,129.067,-6.787,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.623,NaN
168.03,126.287,-6.785,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.011,NaN
168.53,122.897,-6.773,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,393.712,NaN
168.964,119.957,-6.796,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,388.717,NaN
169.464,116.561,-6.788,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.591,NaN
169.964,113.166,-6.792,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.642,NaN
170.361,110.474,-6.768,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,395.583,NaN
170.861,107.083,-6.797,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,388.78,NaN
171.361,103.687,-6.785,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.908,NaN
171.861,100.293,-6.791,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.406,NaN
172.361,96.899,-6.786,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.377,NaN
172.771,94.116,-6.771,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,394.191,NaN
173.061,92.156,-6.782,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.702,NaN
173.561,88.764,-6.784,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.197,NaN
174.061,85.371,-6.789,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.512,NaN
174.561,81.98,-6.775,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.947,NaN
175.061,78.588,-6.792,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.528,NaN
175.561,75.195,-6.78,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.111,NaN
176.061,71.803,-6.788,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.215,NaN
176.561,68.41,-6.783,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.326,NaN
177.061,65.018,-6.785,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.72,NaN
177.561,61.626,-6.784,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.956,NaN
178.061,58.234,-6.784,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.896,NaN
178.561,54.842,-6.782,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.105,NaN
179.061,51.451,-6.784,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.725,NaN
179.561,48.06,-6.781,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.115,NaN
180.061,44.671,-6.773,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,392.291,NaN
180.561,41.283,-6.778,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.054,NaN
181.061,37.893,-6.783,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.485,NaN
181.561,34.503,-6.775,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.926,NaN
182.061,31.115,-6.78,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.659,NaN
182.561,27.725,-6.778,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.128,NaN
183.061,24.34,-6.763,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,393.525,NaN
183.451,21.697,-6.777,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,389.747,NaN
183.951,18.308,-6.779,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.849,NaN
184.451,14.92,-6.777,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.127,NaN
184.951,11.531,-6.777,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.947,NaN
185.451,8.144,-6.773,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.516,NaN
185.951,4.756,-6.779,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.429,NaN
186.451,1.368,-6.771,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,391.827,NaN
186.653,0,-6.774,3.985e4,241.842,NaN,NaN,NaN,NaN,0.02,0,390.304,NaN
