# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,0.006,1.107,110.766,1.107,110.766,0,0,0,0,0,0,28.61,-80.6,9.792,5.16,0,0,0,7.908e4,3.602e4,56.693,0.594,NaN,252.092,NaN,0.003,2.945e5,9533.407,0.015,0.577,0.615,0.459,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.418e-4,20.32,324.293,90,0,0.1,15,1013.249,340.389,0.01,0.017
0.02,0.022,2.213,110.649,2.213,110.649,0,0,0,0,0,0,28.61,-80.6,9.792,2.587,0,0,0,7.904e4,3.599e4,56.68,0.594,NaN,252.13,NaN,0.007,5.868e5,9520.26,0.051,0.513,0.523,0.395,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.833e-4,20.32,324.293,90,0,0.1,15,1013.247,340.389,0.01,0.021
0.03,0.05,3.318,110.531,3.318,110.531,0,0,0,0,0,0,28.61,-80.6,9.792,1.726,0,0,0,7.901e4,3.595e4,56.667,0.593,NaN,252.167,NaN,0.01,8.792e5,9507.113,0.106,0.482,0.486,0.363,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.248e-4,20.32,324.293,90,0,0.1,15,1013.244,340.389,0.01,0.023
0.04,0.088,4.422,110.396,4.422,110.396,0,0,0,0,0,0,28.61,-80.6,9.792,1.296,0,0,0,7.896e4,3.59e4,56.652,0.593,NaN,252.197,NaN,0.013,1.171e6,9490.698,0.18,0.462,0.464,0.343,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.661e-4,20.32,324.293,90,0,0.1,14.999,1013.24,340.389,0.01,0.024
0.05,0.138,5.524,110.219,5.524,110.219,0,0,0,0,0,0,28.61,-80.6,9.792,1.037,0,0,0,7.892e4,3.586e4,56.637,0.593,NaN,252.227,NaN,0.016,1.463e6,9471.013,0.272,0.448,0.449,0.329,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.072e-4,20.32,324.293,90,0,0.1,14.999,1013.234,340.388,0.01,0.026
0.06,0.199,6.624,110.059,6.624,110.059,0,0,0,0,0,0,28.61,-80.6,9.792,0.865,0,0,0,7.888e4,3.582e4,56.627,0.593,NaN,252.247,NaN,0.019,1.755e6,9454.618,0.381,0.436,0.437,0.318,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.481e-4,20.32,324.293,90,0,0.1,14.999,1013.227,340.388,0.01,0.028
0.07,0.271,7.723,109.94,7.723,109.94,0,0,0,0,0,0,28.61,-80.6,9.792,0.742,0,0,0,7.885e4,3.579e4,56.617,0.592,NaN,252.267,NaN,0.023,2.046e6,9441.515,0.507,0.428,0.428,0.309,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.888e-4,20.32,324.293,90,0,0.1,14.998,1013.218,340.388,0.01,0.029
0.08,0.353,8.821,109.821,8.821,109.821,0,0,0,0,0,0,28.61,-80.6,9.792,0.65,0,0,0,7.882e4,3.576e4,56.607,0.592,NaN,252.286,NaN,0.026,2.336e6,9428.412,0.65,0.42,0.421,0.301,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,90,0,0.1,14.998,1013.209,340.388,0.01,0.031
0.09,0.447,9.918,109.685,9.918,109.685,0,0,0,0,0,0,28.61,-80.6,9.792,0.578,0,0,0,7.877e4,3.571e4,56.592,0.592,NaN,252.316,NaN,0.029,2.627e6,9412.048,0.809,0.414,0.414,0.295,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,90,0,0.1,14.997,1013.198,340.387,0.01,0.032
0.1,0.552,11.012,109.507,11.012,109.507,0,0,0,0,0,0,28.61,-80.6,9.792,0.52,0,0,0,7.872e4,3.566e4,56.577,0.592,NaN,252.345,NaN,0.032,2.917e6,9392.423,0.984,0.408,0.409,0.289,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,90,0,0.1,14.996,1013.185,340.387,0.01,0.034
0.109,0.656,12.005,109.349,12.005,109.349,0,0,0,0,0,0,28.61,-80.6,9.792,0.477,0,0,0,7.869e4,3.563e4,56.568,0.592,NaN,252.363,NaN,0.035,3.18e6,9376.68,1.157,0.404,0.404,0.285,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,90,0,0.1,14.996,1013.173,340.386,0.009,0.036
0.117,0.76,12.915,109.243,12.915,109.243,0,0,0,0,0,0,28.61,-80.6,9.792,0.444,0,0,0,7.867e4,3.561e4,56.559,0.592,NaN,252.379,NaN,0.038,3.421e6,9365.311,1.327,0.4,0.4,0.281,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,90,0,0.1,14.995,1013.161,340.386,0.008,0.037
0.125,0.863,13.76,109.145,13.76,109.145,0,0,0,0,0,0,28.61,-80.6,9.792,0.416,0,0,0,7.864e4,3.558e4,56.552,0.591,NaN,252.394,NaN,0.04,3.644e6,9354.815,1.494,0.397,0.397,0.278,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,90,0,0.1,14.994,1013.149,340.385,0.008,0.039
0.132,0.966,14.552,109.057,14.552,109.057,0,0,0,0,0,0,28.61,-80.6,9.792,0.394,0,0,0,7.861e4,3.555e4,56.543,0.591,NaN,252.411,NaN,0.043,3.854e6,9344.752,1.66,0.394,0.395,0.275,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,90,0,0.1,14.994,1013.137,340.385,0.007,0.04
0.139,1.069,15.301,108.942,15.301,108.942,0,0,0,0,0,0,28.61,-80.6,9.792,0.374,0,0,0,7.858e4,3.552e4,56.533,0.591,NaN,252.431,NaN,0.045,4.052e6,9331.976,1.824,0.392,0.392,0.273,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,90,0,0.1,14.993,1013.125,340.385,0.007,0.042
0.15,1.232,16.422,108.8,16.422,108.8,-3.168e-7,0,3.168e-7,-180,6.22e-5,0.006,28.61,-80.6,9.792,0.349,0,0.001,-2.422e-6,7.853e4,3.547e4,56.518,0.591,295.661,252.461,2.126,0.048,4.349e6,9315.179,2.083,0.389,0.389,0.27,0.013,0.106,0.061,0.129,-1.373e-5,0,0,0,0,1.802e-8,0.002,20.32,324.293,90,0,0.1,14.992,1013.105,340.384,0.01,0.045
0.165,1.499,18.101,108.611,18.101,108.611,-2.05e-6,0,2.05e-6,-180,1.636e-4,0.007,28.61,-80.6,9.792,0.316,0,0.004,-1.989e-6,7.848e4,3.542e4,56.502,0.591,295.764,252.491,2.13,0.053,4.794e6,9294.78,2.502,0.384,0.384,0.265,0.013,0.106,0.055,0.117,2.813e-4,0,0,0,0,1.03e-7,0.002,20.32,324.293,90,0,0.1,14.99,1013.074,340.383,0.015,0.047
0.188,1.948,20.614,108.402,20.614,108.402,-7.768e-6,0,7.768e-6,180,3.32e-4,0.008,28.61,-80.6,9.792,0.277,0,0.008,1.41e-5,7.839e4,3.533e4,56.475,0.59,295.89,252.544,2.133,0.061,5.459e6,9268.669,3.196,0.379,0.379,0.259,0.013,0.106,0.048,0.103,1.787e-4,0,0,0,0,3.314e-7,0.003,20.32,324.293,90,0.017,0.1,14.987,1013.022,340.381,0.023,0.049
0.223,2.73,24.367,107.965,24.367,107.965,-2.403e-5,0,2.403e-5,180,6.067e-4,0.008,28.61,-80.6,9.792,0.233,0,0.014,1.351e-5,7.826e4,3.52e4,56.435,0.589,296.033,252.622,2.136,0.072,6.453e6,9220.254,4.382,0.372,0.372,0.252,0.013,0.106,0.04,0.087,8.924e-6,0,0,0,0,8.42e-7,0.003,20.32,324.293,89.999,-0.001,0.1,14.982,1012.93,340.378,0.035,0.052
0.273,4.083,29.733,107.399,29.733,107.399,-6.468e-5,0,6.468e-5,179.999,0.001,0.008,28.61,-80.6,9.792,0.189,0,0.026,2.894e-5,7.807e4,3.501e4,56.371,0.588,296.182,252.775,2.136,0.087,7.873e6,9155.451,6.385,0.364,0.364,0.244,0.014,0.106,0.033,0.07,-2.632e-4,0,0,0,0,1.851e-6,0.004,20.32,324.293,89.998,0.008,0.1,14.973,1012.771,340.373,0.05,0.055
0.323,5.703,35.06,106.662,35.06,106.662,-1.253e-4,0,1.253e-4,179.999,0.001,0.007,28.61,-80.6,9.792,0.158,0,0.04,2.328e-6,7.788e4,3.482e4,56.311,0.587,296.293,252.899,2.136,0.103,9.282e6,9077.915,8.728,0.358,0.358,0.237,0.014,0.107,0.027,0.058,4.616e-4,0,0,0,0,3.107e-6,0.004,20.32,324.293,89.997,-0.007,0.1,14.963,1012.581,340.366,0.05,0.057
0.373,7.588,40.35,105.92,40.35,105.92,-2.022e-4,0,2.022e-4,179.999,0.002,0.004,28.61,-80.6,9.792,0.134,0,0.055,5.911e-5,7.769e4,3.463e4,56.253,0.586,296.383,253.009,2.135,0.119,1.068e7,9000.641,11.401,0.353,0.353,0.232,0.014,0.107,0.023,0.049,6.538e-6,0,0,0,0,4.561e-6,0.005,20.32,324.293,89.994,0.001,0.1,14.951,1012.36,340.359,0.05,0.067
0.423,9.737,45.604,105.173,45.604,105.173,-2.881e-4,0,2.881e-4,179.999,0.002,0.001,28.61,-80.6,9.792,0.115,0,0.073,1.644e-5,7.75e4,3.444e4,56.196,0.586,296.46,253.119,2.133,0.134,1.207e7,8923.628,14.396,0.349,0.349,0.227,0.014,0.108,0.02,0.042,-4.75e-4,0,0,0,0,6.165e-6,0.006,20.32,324.293,89.991,-0.002,0.1,14.937,1012.108,340.351,0.05,0.07
0.473,12.147,50.819,104.418,50.819,104.418,-3.709e-4,0,3.709e-4,180,0.002,0.008,28.61,-80.6,9.792,0.098,0,0.092,6.378e-5,7.73e4,3.425e4,56.14,0.585,296.531,253.228,2.131,0.149,1.345e7,8846.875,17.843,0.348,0.348,0.226,0.014,0.108,0.017,0.036,2.976e-4,0,0,0,0,7.824e-6,0.007,20.32,324.293,89.987,-0.016,0.1,14.921,1011.825,340.341,0.05,0.072
0.523,14.818,55.997,103.658,55.997,103.658,-4.34e-4,-2.115e-8,4.34e-4,-179.997,9.273e-4,0.017,28.61,-80.6,9.792,0.083,0,0.111,-2.327e-4,7.711e4,3.406e4,56.078,0.584,296.598,253.371,2.127,0.165,1.482e7,8770.382,21.698,0.349,0.349,0.226,0.014,0.109,0.014,0.031,1.476e-4,0,0,0,0,9.467e-6,0.007,20.32,324.293,89.982,-0.006,0.1,14.904,1011.512,340.331,0.05,0.074
0.573,17.746,61.137,102.892,61.137,102.892,-4.556e-4,-5.057e-8,4.556e-4,-179.994,1.597e-4,0.028,28.61,-80.6,9.792,0.07,0,0.131,-1.93e-4,7.693e4,3.387e4,56.021,0.583,296.663,253.488,2.125,0.18,1.617e7,8694.149,25.907,0.35,0.35,0.226,0.015,0.109,0.012,0.026,1.489e-4,0,0,0,0,1.106e-5,0.008,20.32,324.293,89.976,0.014,0.1,14.885,1011.169,340.319,0.05,0.076
0.623,20.93,66.238,102.12,66.238,102.12,-4.082e-4,-4.845e-8,4.082e-4,-179.993,0.002,0.041,28.61,-80.6,9.792,0.057,0,0.15,-4.138e-4,7.674e4,3.368e4,55.966,0.582,296.728,253.592,2.123,0.195,1.752e7,8618.175,30.466,0.35,0.35,0.226,0.015,0.11,0.01,0.021,-4.466e-4,0,0,0,0,1.234e-5,0.008,20.32,324.293,89.969,0.026,0.1,14.864,1010.795,340.306,0.05,0.078
0.673,24.369,71.3,101.343,71.3,101.343,-2.592e-4,2.129e-8,2.592e-4,179.995,0.004,0.056,28.61,-80.6,9.792,0.045,0,0.168,-2.772e-4,7.655e4,3.349e4,55.911,0.581,296.793,253.695,2.121,0.21,1.885e7,8542.462,35.37,0.351,0.351,0.226,0.015,0.11,0.008,0.016,1.134e-4,0,0,0,0,1.336e-5,0.009,20.32,324.293,89.961,0.028,0.1,14.842,1010.392,340.293,0.05,0.081
0.723,28.059,76.324,100.56,76.324,100.56,2.969e-5,1.891e-7,2.969e-5,0.365,0.007,0.073,28.61,-80.6,9.792,0.033,0,0.184,-5.985e-4,7.636e4,3.33e4,55.856,0.58,296.858,253.797,2.119,0.224,2.017e7,8467.009,40.613,0.352,0.352,0.225,0.015,0.111,0.006,0.012,2.24e-4,0,0,0,0,1.405e-5,0.01,20.32,324.293,89.952,0.029,0.1,14.818,1009.959,340.278,0.05,0.083
0.773,32,81.308,99.772,81.308,99.772,5.015e-4,4.847e-7,5.015e-4,0.055,0.012,0.093,28.61,-80.6,9.792,0.021,0,0.196,-6.991e-4,7.617e4,3.311e4,55.798,0.579,296.925,253.932,2.116,0.239,2.148e7,8391.818,46.192,0.353,0.353,0.225,0.016,0.112,0.004,0.008,-4.372e-4,0,0,0,0,1.4e-5,0.01,20.32,324.293,89.943,0.033,0.1,14.792,1009.497,340.263,0.05,0.085
0.823,36.189,86.253,98.978,86.253,98.978,0.001,9.466e-7,0.001,0.045,0.017,0.113,28.61,-80.6,9.792,0.01,0,0.204,7.932e-5,7.598e4,3.292e4,55.743,0.578,296.992,254.042,2.114,0.254,2.278e7,8316.893,52.102,0.354,0.354,0.225,0.016,0.113,0.002,0.003,1.509e-4,0,0,0,0,1.355e-5,0.011,20.32,324.293,89.933,0.024,0.1,14.765,1009.006,340.246,0.05,0.087
0.873,40.624,91.158,98.179,91.158,98.179,0.002,1.553e-6,0.002,0.041,0.023,0.135,28.61,-80.6,9.792,2.979e-4,0,0,0,7.58e4,3.274e4,55.69,0.577,296.897,254.139,2.104,0.268,2.407e7,8242.22,58.337,0.355,0.355,0.225,0.016,0.114,5.121e-5,2.154e-4,1.21e-5,0,0,0,0,0,0.012,20.32,324.293,89.922,0.012,0.1,14.736,1008.485,340.229,0.05,0.089
0.923,45.304,96.023,97.374,96.023,97.374,0.004,2.256e-6,0.004,0.037,0.03,0.156,28.61,-80.6,9.792,0.01,0,-0.204,-6.925e-4,7.561e4,3.255e4,55.637,0.576,297.056,254.235,2.107,0.282,2.535e7,8167.808,64.894,0.356,0.356,0.225,0.017,0.115,0.002,0.003,-1.435e-4,0,0,0,0,-1.089e-5,0.012,20.32,324.293,89.912,4.432e-4,0.1,14.706,1007.937,340.21,0.05,0.091
0.973,50.225,100.847,96.564,100.847,96.564,0.005,2.968e-6,0.005,0.033,0.038,0.177,28.61,-80.6,9.792,0.019,0,-0.192,2.258e-4,7.542e4,3.237e4,55.584,0.575,297.069,254.33,2.103,0.296,2.661e7,8093.663,71.768,0.357,0.357,0.225,0.017,0.116,0.003,0.007,4.625e-4,0,0,0,0,-8.763e-6,0.013,20.32,324.293,89.902,-0.013,0.1,14.674,1007.359,340.191,0.05,0.093
1.023,55.387,105.634,95.809,105.634,95.809,0.007,3.532e-6,0.007,0.027,0.048,0.197,28.61,-80.6,9.792,0.027,0,-0.175,2.812e-6,7.524e4,3.218e4,55.528,0.574,297.081,254.458,2.098,0.311,2.786e7,8024.278,78.96,0.358,0.358,0.224,0.017,0.116,0.005,0.01,-3.148e-4,0,0,0,0,-6.595e-6,0.014,20.32,324.293,89.893,-0.031,0.1,14.64,1006.754,340.171,0.05,0.095
1.073,60.788,110.408,95.545,110.408,95.545,0.01,3.773e-6,0.01,0.022,0.058,0.216,28.61,-80.6,9.792,0.033,0,-0.148,-5.592e-4,7.505e4,3.199e4,55.475,0.573,297.098,254.56,2.093,0.325,2.911e7,7992.475,86.506,0.359,0.359,0.224,0.018,0.118,0.006,0.012,2.65e-4,0,0,0,0,-4.331e-6,0.014,20.32,324.293,89.885,-0.037,0.1,14.605,1006.121,340.149,0.05,0.098
1.123,66.428,115.175,95.396,115.175,95.396,0.013,3.596e-6,0.013,0.016,0.069,0.231,28.61,-80.6,9.792,0.037,0,-0.114,0.001,7.487e4,3.181e4,55.424,0.572,297.124,254.651,2.09,0.339,3.035e7,7969.757,94.419,0.361,0.361,0.224,0.018,0.119,0.006,0.013,-1.361e-4,0,0,0,0,-2.342e-6,0.015,20.32,324.293,89.878,-0.034,0.1,14.568,1005.459,340.127,0.05,0.1
1.173,72.306,119.934,95.24,119.934,95.24,0.017,2.987e-6,0.017,0.01,0.081,0.242,28.61,-80.6,9.792,0.04,0,-0.074,-2.786e-4,7.469e4,3.163e4,55.373,0.571,297.154,254.741,2.087,0.353,3.159e7,7947.055,102.702,0.362,0.362,0.224,0.019,0.12,0.007,0.015,3.435e-6,0,0,0,0,-9.186e-7,0.015,20.32,324.293,89.874,-0.026,0.1,14.53,1004.77,340.104,0.05,0.102
1.223,78.421,124.685,95.079,124.685,95.079,0.021,2.059e-6,0.021,0.006,0.093,0.248,28.61,-80.6,9.792,0.04,0,-0.028,3.376e-4,7.45e4,3.144e4,55.323,0.57,297.193,254.83,2.085,0.367,3.283e7,7924.373,111.36,0.363,0.363,0.223,0.019,0.121,0.007,0.015,-1.68e-4,0,0,0,0,-1.209e-7,0.016,20.32,324.293,89.871,-0.015,0.1,14.49,1004.053,340.08,0.05,0.104
1.273,84.774,129.427,94.911,129.427,94.911,0.026,9.908e-7,0.026,0.002,0.106,0.249,28.61,-80.6,9.792,0.038,0,0.02,-4.195e-4,7.432e4,3.126e4,55.269,0.569,297.246,254.949,2.082,0.381,3.406e7,7901.71,120.398,0.365,0.365,0.223,0.019,0.122,0.007,0.013,-1.04e-4,0,0,0,0,5.824e-8,0.017,20.32,324.293,89.871,-0.004,0.1,14.449,1003.307,340.055,0.05,0.106
1.323,91.364,134.162,94.737,134.162,94.737,0.032,-1.074e-7,0.032,-1.93e-4,0.118,0.243,28.61,-80.6,9.792,0.034,0,0.067,0.002,7.413e4,3.108e4,55.218,0.568,297.305,255.045,2.08,0.395,3.529e7,7879.058,129.818,0.366,0.366,0.223,0.02,0.123,0.006,0.012,3.407e-4,0,0,0,0,6.06e-7,0.017,20.32,324.293,89.873,0.004,0.1,14.406,1002.535,340.029,0.05,0.108
1.373,98.19,138.887,94.556,138.887,94.556,0.038,-1.127e-6,0.038,-0.002,0.13,0.23,28.61,-80.6,9.792,0.028,0,0.11,0.001,7.395e4,3.089e4,55.169,0.567,297.368,255.13,2.079,0.408,3.651e7,7856.426,139.627,0.368,0.368,0.223,0.021,0.125,0.005,0.011,2.176e-4,0,0,0,0,1.52e-6,0.018,20.32,324.293,89.878,0.021,0.1,14.362,1001.734,340.002,0.05,0.11
1.423,105.252,143.603,94.369,143.603,94.369,0.045,-1.796e-6,0.045,-0.002,0.141,0.212,28.61,-80.6,9.792,0.02,0,0.147,9.526e-4,7.377e4,3.071e4,55.119,0.566,297.443,255.213,2.078,0.422,3.773e7,7833.815,149.829,0.369,0.369,0.222,0.021,0.126,0.003,0.007,-1.776e-4,0,0,0,0,2.543e-6,0.018,20.32,324.293,89.884,0.037,0.1,14.316,1000.906,339.974,0.05,0.112
1.473,112.55,148.309,94.175,148.31,94.175,0.052,-1.935e-6,0.052,-0.002,0.151,0.189,28.61,-80.6,9.792,0.011,0,0.171,0.001,7.359e4,3.053e4,55.071,0.565,297.488,255.296,2.076,0.436,3.895e7,7811.216,160.429,0.371,0.371,0.222,0.022,0.127,0.002,0.004,2.41e-4,0,0,0,0,3.192e-6,0.019,20.32,324.293,89.892,0.057,0.1,14.268,1000.05,339.946,0.05,0.114
1.523,120.083,153.006,93.974,153.006,93.974,0.06,-1.287e-6,0.06,-0.001,0.16,0.162,28.61,-80.6,9.792,0.002,-2.914e-7,0.181,0.015,7.341e4,3.035e4,55.019,0.564,297.322,255.408,2.063,0.45,4.016e7,7788.634,171.432,0.373,0.373,0.222,0.022,0.129,3.428e-4,0.001,-4.713e-4,0,0,0,0,3.357e-6,0.02,20.32,324.293,89.901,0.068,0.1,14.219,999.166,339.916,0.05,0.116
1.573,127.85,157.692,93.766,157.693,93.766,0.068,2.879e-7,0.068,2.422e-4,0.167,0.135,28.61,-80.6,9.792,0.007,0,-0.179,0.004,7.323e4,3.017e4,54.97,0.563,297.732,255.497,2.078,0.464,4.136e7,7766.073,182.844,0.375,0.375,0.222,0.023,0.13,0.001,0.002,1.976e-4,0,0,0,0,-3.092e-6,0.02,20.32,324.293,89.91,0.09,0.1,14.169,998.255,339.885,0.05,0.118
1.623,135.852,162.368,93.551,162.368,93.551,0.077,2.942e-6,0.077,0.002,0.173,0.108,28.61,-80.6,9.792,0.015,0,-0.155,0.003,7.305e4,2.999e4,54.922,0.563,297.718,255.576,2.074,0.478,4.256e7,7743.531,194.672,0.377,0.377,0.221,0.024,0.132,0.003,0.005,-6.068e-5,0,0,0,0,-2.201e-6,0.021,20.32,324.293,89.918,0.11,0.1,14.117,997.317,339.854,0.05,0.12
1.673,144.087,167.033,93.329,167.033,93.329,0.085,6.724e-6,0.085,0.005,0.178,0.086,28.61,-80.6,9.792,0.021,0,-0.121,0.004,7.287e4,2.981e4,54.875,0.562,297.753,255.653,2.072,0.492,4.376e7,7721.007,206.919,0.378,0.378,0.221,0.024,0.133,0.004,0.007,-2.421e-4,0,0,0,0,-1.258e-6,0.021,20.32,324.293,89.925,0.1,0.1,14.063,996.351,339.821,0.05,0.122
1.723,152.555,171.687,93.1,171.687,93.1,0.094,1.15e-5,0.094,0.007,0.182,0.07,28.61,-80.6,9.792,0.024,0,-0.07,-0.001,7.269e4,2.963e4,54.827,0.561,297.79,255.729,2.07,0.505,4.495e7,7698.496,219.594,0.38,0.38,0.221,0.025,0.135,0.004,0.009,-6.095e-5,0,0,0,0,-3.969e-7,0.022,20.32,324.293,89.93,0.092,0.1,14.008,995.358,339.788,0.05,0.124
1.773,161.255,176.329,92.863,176.329,92.863,0.104,1.706e-5,0.104,0.009,0.185,0.062,28.61,-80.6,9.792,0.025,0,-0.018,-0.001,7.251e4,2.945e4,54.777,0.56,297.86,255.834,2.068,0.519,4.613e7,7676.004,232.704,0.383,0.383,0.22,0.026,0.136,0.004,0.009,-4.687e-4,0,0,0,0,-2.385e-8,0.023,20.32,324.293,89.932,0.107,0.1,13.952,994.337,339.754,0.05,0.126
1.823,170.187,180.959,92.618,180.959,92.618,0.113,2.351e-5,0.113,0.012,0.188,0.064,28.61,-80.6,9.792,0.023,0,0.045,4.138e-4,7.233e4,2.927e4,54.73,0.559,297.939,255.917,2.068,0.533,4.731e7,7653.526,246.254,0.385,0.385,0.22,0.027,0.138,0.004,0.009,2.653e-4,0,0,0,0,1.474e-7,0.023,20.32,324.293,89.932,0.096,0.1,13.894,993.29,339.719,0.05,0.128
1.873,179.35,185.576,92.365,185.576,92.365,0.122,3.081e-5,0.122,0.014,0.192,0.075,28.61,-80.6,9.792,0.018,0,0.1,-0.002,7.215e4,2.909e4,54.684,0.558,298.028,255.99,2.069,0.546,4.848e7,7631.07,260.251,0.387,0.387,0.22,0.028,0.14,0.003,0.006,8.584e-5,0,0,0,0,6.985e-7,0.024,20.32,324.293,89.928,0.087,0.1,13.834,992.215,339.682,0.05,0.13
1.923,188.744,190.181,92.105,190.181,92.105,0.132,3.885e-5,0.132,0.017,0.196,0.095,28.61,-80.6,9.792,0.011,0,0.137,4.048e-4,7.197e4,2.891e4,54.638,0.557,298.16,256.061,2.072,0.56,4.965e7,7608.632,274.708,0.389,0.389,0.219,0.029,0.141,0.002,0.004,-2.754e-4,0,0,0,0,1.248e-6,0.024,20.32,324.293,89.922,0.082,0.1,13.773,991.113,339.645,0.05,0.132
1.973,198.368,194.772,91.836,194.772,91.836,0.142,4.768e-5,0.142,0.019,0.201,0.12,28.61,-80.6,9.792,0.003,0,0.154,-0.002,7.18e4,2.874e4,54.592,0.556,298.263,256.131,2.073,0.574,5.081e7,7586.208,289.631,0.392,0.392,0.219,0.03,0.143,5.932e-4,0.002,-1.335e-5,0,0,0,0,1.504e-6,0.025,20.32,324.293,89.915,0.064,0.1,13.711,989.985,339.608,0.05,0.134
2.023,208.221,199.35,91.559,199.35,91.559,0.152,5.703e-5,0.152,0.021,0.208,0.148,28.61,-80.6,9.792,0.005,0,-0.157,-6.543e-5,7.162e4,2.856e4,54.544,0.555,298.342,256.23,2.072,0.587,5.197e7,7563.803,305.026,0.394,0.394,0.219,0.031,0.145,8.319e-4,0.002,-3.21e-4,0,0,0,0,-1.489e-6,0.026,20.32,324.293,89.907,0.035,0.1,13.647,988.829,339.569,0.05,0.135
2.073,218.303,203.913,91.273,203.913,91.274,0.163,6.671e-5,0.163,0.023,0.216,0.174,28.61,-80.6,9.792,0.012,0,-0.13,0.001,7.144e4,2.838e4,54.498,0.554,298.459,256.306,2.074,0.601,5.311e7,7541.415,320.906,0.397,0.397,0.218,0.032,0.147,0.002,0.005,3.549e-4,0,0,0,0,-9.801e-7,0.026,20.32,324.293,89.9,0.017,0.1,13.581,987.647,339.529,0.05,0.137
2.123,228.612,208.462,90.979,208.462,90.979,0.174,7.637e-5,0.174,0.025,0.225,0.193,28.61,-80.6,9.792,0.016,0,-0.085,0.002,7.127e4,2.821e4,54.453,0.553,298.556,256.373,2.076,0.614,5.425e7,7519.043,337.293,0.399,0.399,0.218,0.033,0.149,0.003,0.006,3.017e-4,0,0,0,0,-3.979e-7,0.027,20.32,324.293,89.894,0.005,0.1,13.514,986.438,339.488,0.05,0.139
2.173,239.149,212.996,90.676,212.996,90.676,0.185,8.574e-5,0.185,0.027,0.235,0.203,28.61,-80.6,9.791,0.018,0,-0.022,0.004,7.109e4,2.803e4,54.409,0.552,298.657,256.438,2.078,0.627,5.539e7,7496.691,354.186,0.402,0.402,0.218,0.034,0.15,0.003,0.007,4.458e-4,0,0,0,0,-2.653e-8,0.027,20.32,324.293,89.892,0.009,0.1,13.446,985.202,339.447,0.05,0.141
2.223,249.911,217.515,90.363,217.515,90.363,0.197,9.489e-5,0.197,0.028,0.245,0.2,28.61,-80.6,9.791,0.017,0,0.045,0.006,7.092e4,2.786e4,54.365,0.552,298.76,256.502,2.08,0.641,5.652e7,7474.353,371.597,0.405,0.405,0.217,0.035,0.152,0.003,0.006,1.026e-4,0,0,0,0,1.037e-7,0.028,20.32,324.293,89.892,0.045,0.1,13.376,983.94,339.404,0.05,0.143
2.273,260.9,222.018,90.041,222.018,90.041,0.21,1.048e-4,0.21,0.029,0.255,0.184,28.61,-80.6,9.791,0.013,0,0.098,0.003,7.074e4,2.768e4,54.318,0.551,298.887,256.595,2.081,0.654,5.764e7,7452.036,389.554,0.408,0.408,0.217,0.037,0.154,0.002,0.005,-2.542e-4,0,0,0,0,4.693e-7,0.028,20.32,324.293,89.896,0.118,0.1,13.304,982.651,339.361,0.05,0.145
