# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,420,0,0,99.591,100.05,0,0,0,0,0,9.571,0.838,-1.429,0,0,0,0,85,0,1.151e5,5.44e4,173.245,0.828,9.808,NaN,321.451,NaN,1.264e4,11.197,0,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0,0,20.32,324.293,0.003,0.018,0
0.003,3.112e-4,420,0.249,0.25,99.589,100.048,2.991e-5,0,2.991e-5,5.174e-6,0.024,9.571,0.838,-1.429,0.49,0,0,0,85,0,1.151e5,5.438e4,173.241,0.828,9.808,NaN,321.464,NaN,1.264e4,11.197,0.001,0.94,0.812,0.023,0.105,0.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,7.384e-4,8.361e4,20.32,324.293,0.003,0.036,2.455e-5
0.005,0.001,420.001,0.498,0.5,99.586,100.045,1.196e-4,0,1.196e-4,1.035e-5,0.048,9.571,0.838,-1.429,0.49,0,0,0,85,0,1.151e5,5.436e4,173.238,0.828,9.808,NaN,321.476,NaN,1.264e4,11.197,0.004,0.81,0.682,0.023,0.105,0.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0.001,1.672e5,20.32,324.293,0.003,0.044,4.91e-5
0.008,0.003,420.003,0.747,0.75,99.583,100.041,2.692e-4,0,2.692e-4,1.552e-5,0.072,9.57,0.838,-1.429,0.49,0,0,0,85,0,1.151e5,5.435e4,173.235,0.828,9.808,NaN,321.486,NaN,1.263e4,11.196,0.008,0.748,0.62,0.023,0.105,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0.002,2.508e5,20.32,324.293,0.003,0.051,7.365e-5
0.01,0.005,420.005,0.996,1,99.578,100.037,4.785e-4,0,4.785e-4,2.07e-5,0.096,9.57,0.838,-1.429,0.49,0,0,0,85,0,1.15e5,5.434e4,173.232,0.827,9.808,NaN,321.496,NaN,1.263e4,11.196,0.014,0.709,0.581,0.023,0.105,0.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.99,0.001,338.735,0.003,3.344e5,20.32,324.293,0.003,0.059,9.82e-5
0.013,0.008,420.008,1.245,1.251,99.572,100.031,7.477e-4,0,7.477e-4,2.587e-5,0.12,9.569,0.838,-1.429,0.49,0,0,0,85,0,1.15e5,5.432e4,173.228,0.827,9.808,NaN,321.508,NaN,1.263e4,11.195,0.02,0.681,0.553,0.023,0.105,0.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.99,0.001,338.734,0.004,4.18e5,20.32,324.293,0.003,0.067,1.227e-4
0.015,0.011,420.011,1.494,1.501,99.565,100.024,0.001,0,0.001,3.104e-5,0.144,9.569,0.838,-1.429,0.49,0,0,0,85,0,1.15e5,5.43e4,173.225,0.827,9.808,NaN,321.52,NaN,1.263e4,11.194,0.028,0.66,0.532,0.023,0.105,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.99,0.001,338.734,0.004,5.016e5,20.32,324.293,0.003,0.081,1.473e-4
0.018,0.015,420.015,1.743,1.751,99.556,100.015,0.001,0,0.001,3.622e-5,0.167,9.568,0.838,-1.429,0.49,0,0,0,85,0,1.15e5,5.428e4,173.221,0.827,9.808,NaN,321.532,NaN,1.262e4,11.194,0.038,0.643,0.515,0.023,0.105,0.643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.989,0.001,338.734,0.005,5.852e5,20.32,324.293,0.003,0.088,1.718e-4
0.02,0.02,420.02,1.991,2.001,99.547,100.006,0.002,0,0.002,4.139e-5,0.191,9.567,0.838,-1.429,0.49,0,0,0,85,0,1.15e5,5.427e4,173.218,0.827,9.808,NaN,321.543,NaN,1.262e4,11.193,0.048,0.629,0.501,0.023,0.105,0.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.989,0.001,338.734,0.006,6.688e5,20.32,324.293,0.003,0.094,1.964e-4
0.023,0.025,420.025,2.24,2.251,99.614,99.994,0.002,0,0.002,4.657e-5,0.215,8.715,0.838,-1.429,0.49,0,0,0,85,0,1.15e5,5.426e4,173.215,0.827,9.808,NaN,321.552,NaN,1.262e4,11.192,0.06,0.617,0.489,0.023,0.105,0.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.988,0.001,338.734,0.007,7.524e5,20.32,324.293,0.003,0.104,2.209e-4
0.025,0.031,420.031,2.489,2.501,99.602,99.982,0.003,0,0.003,5.034e-5,0.237,8.714,0.838,-1.429,0.441,0,0,0,85,0,1.149e5,5.424e4,173.212,0.827,9.808,NaN,321.564,NaN,1.262e4,11.191,0.072,0.607,0.478,0.023,0.105,0.607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.987,0.001,338.734,0.007,8.359e5,20.32,324.293,0.003,0.113,2.454e-4
0.027,0.038,420.038,2.738,2.751,99.584,99.964,0.004,0,0.004,5.211e-5,0.259,8.712,0.838,-1.429,0.401,0,0,0,85,0,1.149e5,5.422e4,173.242,0.827,9.808,NaN,321.654,NaN,1.261e4,11.189,0.086,0.598,0.469,0.023,0.105,0.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.987,0.001,338.734,0.008,9.195e5,20.32,324.293,0.003,0.122,2.699e-4
0.03,0.045,420.045,2.987,3,99.561,99.941,0.004,0,0.004,5.268e-5,0.281,8.71,0.838,-1.429,0.367,0,0,0,85,0,1.149e5,5.42e4,173.25,0.827,9.808,NaN,321.692,NaN,1.261e4,11.186,0.101,0.589,0.461,0.023,0.105,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.986,0.001,338.734,0.009,1.003e6,20.32,324.293,0.003,0.127,2.944e-4
0.032,0.053,420.053,3.236,3.25,99.536,99.916,0.005,0,0.005,5.252e-5,0.302,8.708,0.838,-1.429,0.339,0,0,0,85,0,1.149e5,5.419e4,173.247,0.827,9.808,NaN,321.704,NaN,1.26e4,11.184,0.117,0.582,0.454,0.023,0.105,0.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.985,0.001,338.734,0.01,1.086e6,20.32,324.293,0.003,0.133,3.189e-4
0.035,0.061,420.061,3.485,3.5,99.513,99.893,0.006,5.25e-9,0.006,5.191e-5,0.324,8.706,0.838,-1.429,0.315,0,0,0,85,0,1.149e5,5.417e4,173.244,0.827,9.808,NaN,321.715,NaN,1.26e4,11.182,0.135,0.576,0.447,0.023,0.105,0.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.984,0.001,338.734,0.01,1.17e6,20.32,324.293,0.003,0.139,3.434e-4
0.038,0.07,420.07,3.734,3.75,99.492,99.872,0.007,5.906e-9,0.007,5.103e-5,0.346,8.704,0.838,-1.429,0.294,0,0,0,85,0,1.149e5,5.416e4,173.241,0.827,9.808,NaN,321.724,NaN,1.259e4,11.179,0.153,0.57,0.441,0.023,0.105,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.983,0.001,338.734,0.011,1.253e6,20.32,324.293,0.003,0.143,3.679e-4
0.04,0.08,420.08,3.982,3.999,99.462,99.842,0.008,6.563e-9,0.008,4.997e-5,0.368,8.702,0.838,-1.429,0.275,0,0,0,85,0,1.148e5,5.414e4,173.238,0.827,9.808,NaN,321.736,NaN,1.259e4,11.176,0.172,0.564,0.436,0.023,0.105,0.564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.982,0.001,338.734,0.012,1.337e6,20.32,324.293,0.003,0.147,3.924e-4
0.043,0.09,420.09,4.231,4.249,99.43,99.81,0.008,7.219e-9,0.008,4.883e-5,0.389,8.699,0.838,-1.429,0.259,0,0,0,85,0,1.148e5,5.413e4,173.234,0.826,9.808,NaN,321.748,NaN,1.258e4,11.173,0.193,0.559,0.431,0.023,0.105,0.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.98,0.001,338.734,0.013,1.42e6,20.32,324.293,0.003,0.151,4.169e-4
0.045,0.101,420.101,4.48,4.498,99.397,99.776,0.009,7.875e-9,0.009,4.764e-5,0.411,8.696,0.838,-1.429,0.245,0,0,0,85,0,1.148e5,5.411e4,173.23,0.826,9.808,NaN,321.76,NaN,1.258e4,11.17,0.214,0.555,0.426,0.023,0.105,0.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.979,0.001,338.734,0.013,1.504e6,20.32,324.293,0.003,0.157,4.413e-4
0.048,0.112,420.112,4.728,4.748,99.233,99.612,0.011,8.531e-9,0.011,4.643e-5,0.433,8.682,0.838,-1.429,0.232,0,0,0,85,0,1.148e5,5.409e4,173.227,0.826,9.808,NaN,321.771,NaN,1.256e4,11.153,0.237,0.55,0.422,0.023,0.105,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.978,0.001,338.734,0.014,1.587e6,20.32,324.293,0.003,0.16,4.658e-4
0.05,0.124,420.124,4.976,4.997,99.211,99.59,0.012,9.188e-9,0.012,4.524e-5,0.455,8.68,0.838,-1.429,0.221,0,0,0,85,0,1.148e5,5.408e4,173.225,0.826,9.808,NaN,321.779,NaN,1.255e4,11.151,0.26,0.546,0.418,0.023,0.105,0.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.976,0.001,338.734,0.015,1.67e6,20.32,324.293,0.003,0.164,4.902e-4
0.053,0.137,420.137,5.224,5.246,99.177,99.556,0.013,9.844e-9,0.013,4.406e-5,0.476,8.677,0.838,-1.429,0.21,0,0,0,85,0,1.148e5,5.406e4,173.221,0.826,9.808,NaN,321.791,NaN,1.255e4,11.147,0.285,0.542,0.414,0.023,0.105,0.542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.975,0.001,338.734,0.015,1.753e6,20.32,324.293,0.003,0.169,5.146e-4
0.055,0.151,420.151,5.472,5.494,99.141,99.519,0.014,1.05e-8,0.014,4.292e-5,0.498,8.674,0.838,-1.429,0.201,0,0,0,85,0,1.147e5,5.405e4,173.218,0.826,9.808,NaN,321.803,NaN,1.254e4,11.144,0.31,0.539,0.41,0.023,0.105,0.539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.973,0.001,338.734,0.016,1.837e6,20.32,324.293,0.003,0.174,5.39e-4
0.058,0.165,420.165,5.72,5.743,99.102,99.481,0.015,1.116e-8,0.015,4.181e-5,0.52,8.67,0.838,-1.429,0.192,0,0,0,85,0,1.147e5,5.403e4,173.214,0.826,9.808,NaN,321.815,NaN,1.254e4,11.14,0.337,0.535,0.407,0.023,0.106,0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.972,0.001,338.734,0.017,1.92e6,20.32,324.293,0.003,0.177,5.634e-4
0.06,0.179,420.179,5.967,5.992,99.063,99.441,0.017,1.181e-8,0.017,4.073e-5,0.541,8.667,0.838,-1.429,0.184,0,0,0,85,0,1.147e5,5.401e4,173.211,0.826,9.808,NaN,321.827,NaN,1.253e4,11.136,0.365,0.532,0.404,0.023,0.106,0.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.97,0.001,338.734,0.018,2.003e6,20.32,324.293,0.003,0.184,5.878e-4
0.063,0.194,420.194,6.215,6.24,99.023,99.402,0.018,1.247e-8,0.018,3.97e-5,0.563,8.663,0.838,-1.429,0.177,0,0,0,85,0,1.147e5,5.4e4,173.207,0.826,9.808,NaN,321.838,NaN,1.252e4,11.132,0.393,0.529,0.401,0.023,0.106,0.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.968,0.001,338.734,0.018,2.086e6,20.32,324.293,0.003,0.189,6.121e-4
0.065,0.21,420.21,6.462,6.489,98.994,99.372,0.019,1.313e-8,0.019,3.87e-5,0.585,8.661,0.838,-1.429,0.17,0,0,0,85,0,1.147e5,5.399e4,173.205,0.826,9.808,NaN,321.846,NaN,1.252e4,11.129,0.423,0.526,0.398,0.023,0.106,0.526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.966,0.001,338.734,0.019,2.169e6,20.32,324.293,0.003,0.193,6.365e-4
0.068,0.227,420.227,6.71,6.737,98.949,99.327,0.021,1.378e-8,0.021,3.774e-5,0.606,8.657,0.838,-1.429,0.164,0,0,0,85,0,1.147e5,5.397e4,173.201,0.826,9.808,NaN,321.858,NaN,1.251e4,11.124,0.453,0.524,0.395,0.023,0.106,0.524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.964,0.001,338.734,0.02,2.252e6,20.32,324.293,0.003,0.197,6.609e-4
0.07,0.244,420.244,6.957,6.985,98.907,99.285,0.022,1.444e-8,0.022,3.683e-5,0.628,8.653,0.838,-1.429,0.158,0,0,0,85,0,1.147e5,5.395e4,173.221,0.826,9.808,NaN,321.922,NaN,1.25e4,11.12,0.485,0.521,0.393,0.023,0.106,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.962,0.001,338.734,0.021,2.335e6,20.32,324.293,0.003,0.206,6.852e-4
0.073,0.261,420.261,7.204,7.234,98.944,99.321,0.024,1.509e-8,0.024,3.594e-5,0.65,8.656,0.838,-1.429,0.152,0,0,0,85,0,1.146e5,5.393e4,173.241,0.826,9.808,NaN,321.985,NaN,1.251e4,11.124,0.518,0.518,0.39,0.023,0.106,0.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.96,0.001,338.733,0.021,2.418e6,20.32,324.293,0.003,0.21,7.096e-4
0.075,0.28,420.28,7.452,7.482,98.939,99.317,0.026,1.575e-8,0.026,3.51e-5,0.671,8.656,0.838,-1.429,0.147,0,0,0,85,0,1.146e5,5.392e4,173.237,0.825,9.808,NaN,321.997,NaN,1.25e4,11.123,0.551,0.516,0.388,0.023,0.106,0.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.958,0.001,338.733,0.022,2.501e6,20.32,324.293,0.003,0.215,7.339e-4
0.078,0.303,420.303,7.749,7.78,98.916,99.294,0.028,1.654e-8,0.028,3.413e-5,0.697,8.654,0.838,-1.429,0.142,0,0,0,85,0,1.146e5,5.39e4,173.234,0.825,9.808,NaN,322.006,NaN,1.25e4,11.121,0.593,0.513,0.385,0.023,0.106,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.956,0.001,338.733,0.023,2.601e6,20.32,324.293,0.003,0.221,7.631e-4
0.081,0.322,420.322,7.996,8.028,98.887,99.265,0.03,1.719e-8,0.03,3.336e-5,0.719,8.652,0.838,-1.429,0.137,0,0,0,85,0,1.146e5,5.389e4,173.231,0.825,9.808,NaN,322.018,NaN,1.249e4,11.118,0.629,0.511,0.383,0.023,0.106,0.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.953,0.001,338.733,0.024,2.684e6,20.32,324.293,0.003,0.226,7.875e-4
0.083,0.343,420.343,8.243,8.276,98.822,99.199,0.031,1.785e-8,0.031,3.261e-5,0.74,8.646,0.838,-1.429,0.133,0,0,0,85,0,1.146e5,5.387e4,173.227,0.825,9.808,NaN,322.03,NaN,1.249e4,11.111,0.665,0.509,0.381,0.023,0.106,0.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.951,0.001,338.733,0.024,2.767e6,20.32,324.293,0.003,0.231,8.118e-4
0.086,0.364,420.364,8.49,8.524,98.758,99.135,0.033,1.851e-8,0.033,3.19e-5,0.762,8.64,0.838,-1.429,0.129,0,0,0,85,0,1.146e5,5.385e4,173.224,0.825,9.808,NaN,322.042,NaN,1.248e4,11.105,0.703,0.507,0.379,0.023,0.106,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.948,0.001,338.733,0.025,2.849e6,20.32,324.293,0.003,0.234,8.361e-4
0.088,0.385,420.385,8.737,8.772,98.729,99.106,0.035,1.916e-8,0.035,3.122e-5,0.784,8.638,0.838,-1.429,0.126,0,0,0,85,0,1.145e5,5.384e4,173.221,0.825,9.808,NaN,322.053,NaN,1.247e4,11.102,0.742,0.505,0.377,0.023,0.106,0.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.946,0.001,338.733,0.026,2.932e6,20.32,324.293,0.003,0.239,8.604e-4
0.091,0.412,420.412,9.033,9.069,98.705,99.082,0.038,1.995e-8,0.038,3.043e-5,0.81,8.636,0.838,-1.429,0.121,0,0,0,85,0,1.145e5,5.382e4,173.218,0.825,9.808,NaN,322.063,NaN,1.247e4,11.099,0.789,0.503,0.374,0.023,0.106,0.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.943,0.001,338.733,0.027,3.032e6,20.32,324.293,0.003,0.242,8.895e-4
0.094,0.435,420.435,9.28,9.317,98.673,99.05,0.04,2.061e-8,0.04,2.981e-5,0.831,8.633,0.838,-1.429,0.118,0,0,0,85,0,1.145e5,5.381e4,173.214,0.825,9.808,NaN,322.075,NaN,1.246e4,11.096,0.83,0.501,0.373,0.023,0.106,0.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.94,0.001,338.733,0.028,3.114e6,20.32,324.293,0.003,0.244,9.138e-4
0.096,0.458,420.458,9.526,9.564,98.641,99.018,0.042,2.126e-8,0.042,2.92e-5,0.853,8.63,0.838,-1.429,0.115,0,0,0,85,0,1.145e5,5.379e4,173.211,0.825,9.808,NaN,322.087,NaN,1.246e4,11.093,0.872,0.499,0.371,0.023,0.106,0.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.937,0.001,338.733,0.028,3.197e6,20.32,324.293,0.003,0.246,9.381e-4
0.099,0.482,420.482,9.773,9.812,98.607,98.984,0.044,2.192e-8,0.044,2.862e-5,0.874,8.627,0.838,-1.429,0.112,0,0,0,85,0,1.145e5,5.377e4,173.242,0.825,9.808,NaN,322.174,NaN,1.245e4,11.09,0.914,0.498,0.369,0.023,0.106,0.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.934,0.001,338.733,0.029,3.28e6,20.32,324.293,0.003,0.249,9.624e-4
0.101,0.507,420.507,10.019,10.059,98.55,98.927,0.046,2.258e-8,0.046,2.807e-5,0.896,8.622,0.838,-1.429,0.11,0,0,0,85,0,1.145e5,5.375e4,173.25,0.825,9.808,NaN,322.211,NaN,1.244e4,11.084,0.958,0.496,0.368,0.023,0.106,0.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.932,0.001,338.733,0.03,3.363e6,20.32,324.293,0.003,0.253,9.866e-4
0.104,0.532,420.532,10.266,10.307,98.491,98.867,0.048,2.323e-8,0.048,2.753e-5,0.917,8.617,0.838,-1.429,0.107,0,0,0,85,0,1.144e5,5.374e4,173.247,0.825,9.808,NaN,322.222,NaN,1.243e4,11.078,1.002,0.495,0.366,0.023,0.106,0.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.929,0.001,338.732,0.03,3.445e6,20.32,324.293,0.003,0.256,0.001
0.106,0.558,420.558,10.512,10.554,98.447,98.823,0.051,2.389e-8,0.051,2.701e-5,0.939,8.613,0.838,-1.429,0.104,0,0,0,85,0,1.144e5,5.373e4,173.245,0.825,9.808,NaN,322.23,NaN,1.243e4,11.073,1.048,0.493,0.364,0.023,0.106,0.493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.266,963.926,0.001,338.732,0.031,3.528e6,20.32,324.293,0.003,0.259,0.001
0.109,0.585,420.585,10.758,10.801,98.347,98.722,0.053,2.454e-8,0.053,2.651e-5,0.96,8.604,0.838,-1.429,0.102,0,0,0,85,0,1.144e5,5.371e4,173.242,0.824,9.808,NaN,322.242,NaN,1.241e4,11.063,1.094,0.492,0.363,0.023,0.106,0.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.266,963.922,0.001,338.732,0.032,3.61e6,20.32,324.293,0.003,0.262,0.001
0.111,0.612,420.612,11.004,11.047,98.29,98.665,0.055,2.52e-8,0.055,2.603e-5,0.982,8.599,0.838,-1.429,0.1,0,0,0,85,0,1.144e5,5.369e4,173.238,0.824,9.808,NaN,322.254,NaN,1.241e4,11.057,1.141,0.49,0.362,0.023,0.106,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.266,963.919,0.001,338.732,0.033,3.693e6,20.32,324.293,0.003,0.265,0.001
